stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,40.79,210.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,95.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.98,0,0,0,14.36,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.08,7.03,0,0,7.86,0,0,5.47,0,0,0,0,0,0,0
 14-21,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0,1.9,0,0,24.84,0,0,0,0,0,0,0,0,0.89,5.15,0,0,0,0
 24-34,0,0,0,2.45,0,0,0,0,0,0.62,0.71,0,0,0,1.58,0,3.19,54.04,0,0,0,0,0,0,0,0,0.72,20.22,0,0.81,0,0
 36-46,0,0,0,0,0,3.33,0,0,0,1.7,0,0,0,0,0,0,0,126,0,0.59,0,0,0,0,0,0,0,30.18,0,0,0,0
 48-58,0,0,0,5.03,0,20.85,0,0,0.42,21.93,0,0.77,0,0,1.47,0,0,326.33,0,0,0,0,0,1.96,0,0,0,36.82,0,0,0,3.23
 60-70,0,0,0,1.82,0,156.79,0,0,0,19.81,0,0,0,0,6.01,5.81,0,422.29,0,0,0,0,0,6.77,0,0,0,64.55,0,0,0,0
 72-82,0,0,0,3.65,0,568.39,0.96,0,4.55,25.98,0,0,0,0,7.61,0.81,0,416.72,0,1.27,1.32,0,0.89,0,0,0,0,72.51,0.52,0,1.27,14.15
 84-94,0,0,1.46,5.02,3.49,622.59,0.7,4.3,0.69,16.62,0,0,0,0,4.67,0,2.34,270.84,0,0,0,0,0,3.53,0,0,0,32.04,0.77,9.64,1.77,0
 96-106,0,0,0,7.44,7.57,651.45,0,0,0,10.59,0,0,0.93,0,10.35,0,0.92,311.6,0,0,1.3,0,0,0,0,0.6,0,17.32,0,5.69,0.76,8.67
108-118,0,0,0,3.39,0.63,686.33,1.92,0,0,33.96,0,0,1.86,6.63,16.61,0,0.56,359.95,0,0,1.03,0,0.96,0,0,0,0,13.26,0,2.24,0,0
120,0,0,0,3.3,0,1128.25,0,0,0,43.02,0,0,0,0,13.91,0,0,699.84,0,10.54,7.47,0,0,0,0,0,0,20.16,0,0,0,0
