stage,axial,blastomeres,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vasculature
  3-4,0,30.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.23,54.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,24.18,0,0,0,0,0,0,5.46,0,0,0,0,0,20.07,7.74,0,0,32.45,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88,0,0,0,14.3,0,0,0,0,0
 14-21,0,0,0.81,0,0,0,0,0,0,0,0,1.15,0,3.38,2.99,0,0,0,0,0,1.09,0,0
 24-34,0,0,0,0,0.7,0,0,0,0,0,0,15.12,2.94,1.4,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.58,0,0,0,0,0,2.16,37.9,6.15,5.7,0,0,0,0,0.82,0,4.16,0,0
 48-58,0,0,0.84,0,1.24,0,0,0,0,0,0,32.87,3.93,13.97,0,0,0,0,0.39,1.51,6.09,0,3.15
 60-70,0,0,11.13,0.64,0.59,0,1.95,0,0,0,0,26.08,8.5,18.83,0,1.72,0.63,0,0,1.01,1.57,0,0
 72-82,0,0,1.28,0,0,1.69,0,0,0.49,0.93,0,22.39,2.56,33.38,0,0,0.91,0,0,1.5,1.2,0.82,0
 84-94,0,0,1.28,0,0,0,0.63,0,0,0,0,30.88,3.8,15.03,0,0,3.28,0,0.61,2.38,0,0,0
 96-106,0,0,4.54,0,1.03,5.1,2.18,0,0.62,0,1.64,35.45,4.84,53.82,0,0,3.46,0,0.69,0.84,0,0,0.61
108-118,0,0,42.36,1.01,0,2.11,0.96,0,3.7,0,0,41.82,5.98,20.11,0,1.1,0.76,0,0,1.65,0,1.21,0
120,0,0,8.32,1.25,0,0,0,0,0,0,0,58.28,18.52,65.2,0,0,0,0,1.33,2.07,0,0,0
