stage,blastomeres,hatching.gland,neural,paraxial.mesoderm,periderm
  3-4,13.11,0,0,0,23.74
  5-6,28.26,0,0,0,0
  7-9,0,0,34.82,19.39,0
 10-12,0,4.82,0,13.28,0
