stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,melanocytes,mesenchyme,neural,olfactory,otic,periderm,spinal.cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,14.37,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.54,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.34,0,0,0,2.56,0
 24-34,0,0,1.74,0,0,0,0,0,36.76,0,0,0,9.41,0
 36-46,0,0,2.34,0,2.55,0,0,5.85,109.86,0,0.8,0,9.98,0
 48-58,0,0,4.11,0,8.63,0,0,1.03,153.59,0.91,0,2.81,23.85,0
 60-70,0,0,43.23,0,19.88,0,0,0.71,327.5,4.64,0,0,44.87,0
 72-82,0,2.41,60.51,0.61,32.92,6.97,0,1.71,303.75,3.32,0,2.71,17.85,9.24
 84-94,0,0,52.83,0,13.93,0,1.19,2.64,169.82,0,2.1,0,16.46,8
 96-106,0.73,0,27.06,0,18.69,0,0,3.07,166.54,0,0,0,11.62,0
108-118,3.06,0,31.99,0,25.84,0,0,1.81,228.17,0,0,0,12.43,0
120,0,0,44.82,0,14.88,0,0,0,355.67,0,0,0,7.61,0
