stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,34.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.49,239.87,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0
  7-9,0,4.63,0,0,0,0,0,15.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.49,9.14,0,0,36.02,0,3.37,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,31.65,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0,185.13,0,0,0,31.48,0,0,0,0,5.3,0,0,0,0,0,0
 14-21,0,0,0,0,1.34,0,0,0.99,0,0,0,1.89,0,0,0,0,0,0,0,0,0,5.74,0,0,5.21,36.49,1.24,0,0,0,0,0,0,0,0,10.66,0,0,0.85,0,0
 24-34,0,0,0,0,0,0,0,16.45,0,0,0,0.95,0,0,3.45,0,0,0,0,0,0,4.29,0,0,1.67,43.02,0.76,0,1.95,0,0,2.66,0,0,0,12.86,0,0,1.13,0,0
 36-46,0,0,0,0,0,0,0,94.39,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0.8,23.05,0,0,0,0,0,0,0,0,0,3.79,0,0,0.73,0,0
 48-58,0,0,0,0,0.37,1.42,0,132.64,0,0,0.66,0,2.3,0,0,0,0,0,0,0,1.78,13.91,0,0,1.39,11.3,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0.72
 60-70,0,0,0,0,0.6,0,0,2030.92,0,0.67,0,4.91,0,0,0,3.2,0,2.7,0,0,0,5.01,0,0,0.81,19.98,0,0,0,0,0,1.08,0,0,0,2.41,0,0,2.2,0,0
 72-82,0,0,0,0,19.91,2.06,2.97,6839.18,0,0.74,1.42,19.98,1.99,0,0,0,0,2.26,0.91,4.42,0,61.17,0,6.04,3.29,119.16,2.3,1.5,1.32,0,2.23,15.56,0,1.06,0,20.89,2.31,0.85,14.82,2.03,4.09
 84-94,0,0,0,0,29.8,14.47,0,8290.71,3.91,0,0,16.76,0.69,0,2.41,1.33,0.86,23.56,0,8.88,5.28,23.34,1.21,4.12,5.82,66.52,1.87,0,3.2,0,0,14.72,0,0,0,1.15,2.13,1.28,8.05,1.06,0
 96-106,1.12,0,0.69,0,32.54,44.83,3.47,8014.71,1.53,1.89,0,8.25,2.14,0,0,0.78,1.77,5.79,4.25,0.8,0,23.07,1.15,0,0,99.72,0,2.65,2.54,0,1.11,16.96,1.6,0.9,0,3.8,5.71,0,13.57,2.62,8.78
108-118,7.9,0,0,0,20.19,2.91,1.83,6949.62,0.44,1.27,3.83,12.58,3.92,0,1.27,0.62,2.49,12.54,1.8,13.33,0.58,51.39,0,3.65,5.54,220.25,0.83,0.47,0.98,0,3.02,18.1,0,0.41,0,8.87,0,6.99,9.99,1.75,2.03
120,0,0,0,0,19.31,13.37,0,6855.55,0,0,5.27,30.19,5.76,0,0,0,1.48,1.91,0,7.84,0,37.71,12.14,0,3.77,177.41,0,2.49,5.36,0,0,3.08,0,0,0,0,0,0,10.91,3.54,9.68
