stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.43,0,0,0,0,0,0,0,0
  5-6,0,18.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.88,0,0,5.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.14,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.15,0,0,0,0,4.49,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,229.99,1.86,0,0,0,2.17,0,0,4.5,0,0,0,3.61,0,0,0,0,0.82,0,0,2.57,0,2.02,0,0,55.92,0.9,0,0.88,0,0,2.06,0,0
 24-34,0,0,0,1.32,158.15,0,0,0.7,0,10.48,0,0,2.51,0,0,0,23.4,0,2.78,0,1.76,3.91,0,2.35,46.36,0,34.84,0,0,103.96,5.46,0.6,6.38,0,0,9.63,0,0
 36-46,0,0,1.4,0,79.21,0,0,1,0,43.53,0,1.36,5.44,0.7,0,0,27.54,0,6.45,0,0,5.22,0,0,52.35,0,50.83,0,0,145.72,7.77,0,3.2,0,0,0,0,0
 48-58,0,0,0,0,64.03,0,0,3.03,0,29.68,0,1.04,4.33,30.91,0,0,5.19,0,2.31,0,1.46,7.86,0.43,0.48,54.65,0,33.81,0,0,69.03,3.15,0,1.31,0,0,2.74,0,0
 60-70,0,0,16.76,5.18,97.92,0,1,7.33,0,23.28,0,10.59,50.02,14.83,0,0,13.61,0,5.34,12.05,2.23,5.32,0,0,34.56,0,18.33,0,0,98.66,1.32,0,1.47,0.92,0,0,0,0
 72-82,0,0,52.61,0.78,80.37,1.35,1.12,16.24,0,18.34,0,6.4,251.63,3.58,0,0,13.79,0,13.51,11.92,7.21,6.05,0.49,0,111.48,0,51.12,7.05,0,30.44,3.54,0,0,2.01,0,1.74,0,0
 84-94,0,0,86.66,8.09,149.97,0,16.58,36.58,3.03,24.38,0,9.66,457.69,3.67,0,0,15.79,0.7,11.26,12.74,3.2,25.03,0,0,79.49,0,27.19,3.33,0,57.6,5.53,0,0,6.6,0,3.59,0,7.36
 96-106,0,0,98.46,22.39,144.46,2.48,0.63,60.81,0,30.72,3.66,7.5,681.15,0,0,0.56,11.71,4.51,36.18,25.46,14.17,13.19,2.34,1.59,123.27,0.89,40.33,1.29,1.92,43.69,2.73,0,0,8.49,3.79,0,0,0
108-118,0,0,73.18,23.87,152.99,9.28,14.26,47.09,0,38.34,1.45,6.56,729.52,0,1.03,0,14.24,0,20.99,26.47,15.33,3.41,2.64,0.44,87.93,0.6,43.18,5.42,0,39.41,8.38,0,0,16.25,0,0,1.04,0
120,0,0,92.86,14.19,165.02,0,2.63,31.86,0,25.02,0,0,480.72,0,0,1.29,19.76,2.6,13.33,30.4,12.88,2.63,0,0,97.1,0,26.7,3.14,0,42.26,10.31,0,0,15.67,0,0,0,0
