stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,68.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.44,8.75,0,0,0,8.25,0,0,0,0,7.16,0,0,0,0,0,0,0,21.42,0,0,21.27,0,0,0,0,0,0,0
 10-12,0,0,13.41,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0,0,64.24,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.42,0,0,0,0,0,0,2.09,0,0,0
 24-34,0,0,0,0,0,1.61,0,0,0,0,0,0,1.03,0,0.68,2.96,0,0.61,22.63,1.59,0,0,0,0.67,1.35,4.98,0,0,0
 36-46,0,0,0,0,0,2.31,0,0,1.28,0,0,0,0,0,0,1.78,0,2.4,24.78,0,0,0,0,4.12,0,4.53,0,0,0
 48-58,0,0,0,0,0,7.79,0,0,0.86,0,0,0,0,0,0,5.73,0,0.47,19.42,0.5,0,0,0,11.25,0,0,0,0,1.82
 60-70,0,0,0,0,0,17.6,0,1.13,1.21,0,0,0,0,0,0,5.58,0,0,35.48,0,0,0,0,0.61,0,4.3,0,0,0
 72-82,0,0,0,0,0,9.14,0,0,5.46,0,0,0.64,0,0,0,5.28,0.68,0,24.53,0,0,0,0,0.93,0,9.25,0,0,0
 84-94,0,0,0,0,0,6.07,0.62,0,1.65,0,0,0,1.56,0,0,9.47,0,0.88,32.85,0,0,0,0,9.74,0,0,0,0.62,0
 96-106,0,0,0,1.2,0,0,0,0,0,0,0,2.16,0,0,0,4.35,0,1.79,18.51,1.82,1.24,0,0,9.14,0,0,0,0,0
108-118,0,0,0,0.44,0,1.5,0.98,0,0.8,0,0,0.46,0,0.43,0,5.2,1,0.64,16.14,0,0.57,0,0.97,8.13,0,0.72,1.53,0,0
120,0,0,0,12.12,1.98,1.73,1.42,0,43.15,2.55,0,2.43,1.36,0,0,56.35,0,0,58.92,0,4.64,0,0,11.22,0,0,0,0,0
