stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,gut,heart,mesenchyme,mural.cell,muscle,neural,notochord,otic,pronephros,somites,spinal.cord
  3-4,31.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,30.47,0,0,0,0,0
 10-12,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4.82,0,0,0,1.14,0,6.51,0,0,5.17,0,0,0,0,2.83
 24-34,0,3.26,2.53,0.93,0.62,0,0.98,7.51,0,1.78,4.31,0,0,0.78,0.61,1.71
 36-46,0,2.2,0,0,0,0,0,7.58,0.96,3,0.98,1.59,0,0,0,0
 48-58,0,0.67,0,0,0,0,0,5.14,0,0.63,2.77,0,0,0,0,0.58
 60-70,0,0,0,0.8,0.68,0,0,1.66,0,0,0,0,0,0,0,0
 72-82,0,0,3.48,0,0,0,0,0,0,0,3.04,0,0,0,0,0
 84-94,0,2.72,0,0,0.62,0,0,0,0,0,2.83,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,5.36,0,0,0,0,0,0,0,0
108-118,0,0,0.78,0.49,0,0,0,0,0,0,0,0,5.87,0,0,0
