stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,heart,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,16.47,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.76,0,0,6.57,0,0,0,0,0,0,0,0,50.62,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.31,0,0,0,0,0,0,0,0,0,0,85.15,0,0,23.28,0,10.79,0,0,0,0,0,0
 14-21,0,0,10.09,0,8.06,0,0,0,0,0,0,0,4.72,1.28,6.79,0,0,0,0,27.9,0,0,0,0
 24-34,0,0,27.35,0.64,50.58,5.36,0,0,0,0,1.62,3.41,41.81,0,4.61,0,0,0,0.63,88.86,0,0,0,0
 36-46,0,0,1.07,5.74,37.6,25.5,0,0,0,0,3.77,0,110.67,0,0.66,0,0,0,0,92.63,0,0,0,0
 48-58,0,0,0,2.7,27.24,20.88,0,0.59,0.39,0,24.92,0,142.44,0,1.58,0,0.66,0,0,73.2,0,1.02,0,1.17
 60-70,0,0,0,7.05,10.83,17.02,0,0,0,0,101.01,0,69,0,0,0,4.59,0,0,12.39,0,0,0,0
 72-82,0,0,0,3.88,15.53,4.33,0,1.73,0,0,166.05,0,42.14,0,0,0,0,0,0,13.02,0,0,0,0
 84-94,0,0,0,3.76,1.14,0,0,1.92,0,0,141.41,0,37.97,0,0.84,0,0,0,0,12.06,2.08,0,0,0
 96-106,0,0,2.65,2.21,1.53,2,0,0.71,0,0,77.17,0,60.17,0,5.58,0,0,0,0,7.16,0,0,0.66,0
108-118,0,0,3.3,7.34,0,4.01,1.06,0,0,4.32,81.98,0,28.98,0,4.66,0,0,0,0,1.86,1.53,0,0.91,0
120,0,0,6.91,0,0,9.56,0,2.95,0,0,125.66,0,31.04,0,0,0,0,0,0,0,0,0,0,0
