stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.2,227.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0
  5-6,19.17,247.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.34,3.26,0,0,4.36,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5.11,0,0,0,0,0,0,0,0,0,0,0,6.89,0,0,0,0,0,0,0,0.84,0,0,0,0,0
 24-34,0,0,0,2.02,0,0,1.08,0,0,0,9.32,0,0.67,7.78,0,0,0,1.5,0.76,0,0,4.74,1.09,13.96,0.73,0,0,12.76,0.63,1.05,10.18,0,0,0,0,0
 36-46,0,0,0,9.16,8.76,0,0.93,0,0,0,0,0,1.45,23.63,0,0,0,7.43,0,0,1.51,5.45,0,10.21,0,0,0,12.09,0,4.83,3.15,0,0,0,0,0
 48-58,0,0,0,0.38,0,0,4.21,3.55,0.39,0,2.8,0,0,3.42,0,1.45,0,1.45,0,4.92,0,9.02,0,6.04,0.67,0,0,3.29,0,2.63,2.69,0,0,0.56,0,1.19
 60-70,0,0,0,0,2.8,0,3.26,0.65,0,0,2.32,0,0,22.41,0,1.7,1.56,16.89,0,0,0,1.23,0.62,4.09,6.01,0,1.13,7.45,0,4.57,8.8,0,1,0.92,0,0
 72-82,0,0,0,0,5.21,0,3.94,2.51,0,0.78,0.78,0,3.22,25,0,11.73,26.89,34.67,0,7.29,0,10.87,0.51,22.28,8.1,0,0,0,0,0,0,0,0.81,0.58,1.87,0
 84-94,0,0,0.66,0,1.24,0,12.13,2.72,0,0,0,0.65,0.95,68.06,0,11.85,30.95,31.52,0,0,1.22,7.3,0,18.38,1.35,0,0,3.3,2.8,2.41,2.43,1.17,2.73,0,0,0
 96-106,0,0,0,0,5.69,9.83,0,0.93,0,0,13.9,3.47,0,54.07,0,19.49,169.86,18.17,0,0,1.32,34.44,0,34.7,7.52,0,0,4.12,0,2.93,8.22,2.05,3.81,2.2,1.17,0
108-118,0,0,2.59,0,4.73,0,16.64,3.1,0,3.16,4.13,1.02,0,57.11,0,12.17,204.39,9.82,0,0,0,42.5,1.2,16.75,1.57,0,0,5.08,0,1.44,0,0.89,0,1.64,0,0
120,0,0,0,0,2.96,0,15.92,1.76,0,0,0,1.76,0,62.9,5.64,6.27,162.86,8.51,0,0,0,34.41,0,33.09,12.67,0,0,0,0,0,0,0,6.77,0,12.33,0
