stage,epidermis,fin_epithelia,glial,mesenchyme,neural,olfactory,periderm,spinal_cord
 36-46,0,0,0,0,1.04,0,0,0
 48-58,0,0,0,0,0,0,0,0.97
 60-70,0,0,0,0,1.14,0,0,0
 72-82,0,0,2.18,0,3.44,0,0,0
 84-94,0,1.42,0,2.5,0,0,0,0
 96-106,0.65,0,0,0,2.13,0,3.25,0
108-118,0,0,0,0,0,0,0.85,0
120,0,0,0,0,0,15.75,3.01,0
