stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.53,47.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,10.02,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.83,9.4,0,0,18.59,0,0,0,0,0,0,0
 14-21,0,0,1.64,3.87,6.86,0,0,0,0,0,0,0,0,6.02,0,0,0,0,0,0,0,3.68,0,1.04,0,0,18.67,1.01,1.21,0,0,0,0
 24-34,0,0,0.66,0,0.61,0,2.29,0,0,0,0.63,0,0,9.86,0,2.03,0,3.14,0.67,0,0,50.39,0,50.36,1.04,0,72.16,2.62,8.51,0,0,0,0
 36-46,0,0,0,0,0,0,4.06,0,0,0,0,0,0,21.68,0,5.46,0,0.87,0,0,0.71,76.02,0,111.47,0,0,179.75,15.77,13.81,0,0,0,0
 48-58,0,0,0,0,0,0,3.64,0,0,5.43,0,1.32,0.53,6.61,0,8.1,0,0.54,1.92,0,0,49.54,0,34.32,0.6,0,144.42,0,11.84,0,0.41,0,6.07
 60-70,0,0,0,0,0,0,18.57,0,0,0,2.59,0.97,0,8.01,0.61,23.08,0,1.14,0,0,1.3,51.48,0,68,3.08,0,126.69,5.15,8.4,3.21,0,0,0
 72-82,0,0,0,0,0,1.2,26.19,0,0,13.88,19.74,0.65,0,3.21,1.65,43.81,0,5.6,1.23,0.72,0.63,68.03,0,141.96,4.4,0,30.93,17.27,1.36,1.67,0,0,0
 84-94,0,0,0,0,0,0,12.2,0.9,0,2.96,33.12,2.71,0,5.21,1.67,29.96,2.58,3.6,0,0,0,59.93,0.99,134.95,0.57,0,148.14,36.79,2.41,4.98,0,3.28,0
 96-106,0,0,0.81,0,0.97,3.16,16.18,1.4,0,7.05,66.08,0,2.75,10.61,0,89.52,0,6.26,1.22,0,0.77,43.64,0,212.99,1.17,0,81.39,36.46,7.72,1.39,0,0,0
108-118,0,0,0,0,4.51,0,17.23,0,2.66,0.59,108.15,0,0.9,13.84,1.03,55.53,7.12,1.46,0.77,0,0.7,47.53,0,147.73,2.39,0,52.05,27.06,4.42,0,0,0,0
120,2.37,0,0,0,3.21,1.18,21.76,0,0,1.58,148.07,0,0,15.24,6.33,67.01,12.59,27.65,0,0,0,85.75,0,207.78,0,0,36.03,31.7,4.03,0,1.1,0,0
