stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,glial,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,xanthophores
  5-6,8.66,28.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.72,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,3.46,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,59.1,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.95,0,0,0,0,0,0,0,0,8.84,0,0,0,0,0,0.89,13.08,1.41,0,0
 24-34,0,0,4.6,0,0,0,1.06,0,0.7,0,4.13,7.79,28.08,0,0.64,0,1.9,0,3.3,4.13,0,0
 36-46,0,0,1.42,0.77,0,0.69,0,0.89,0,0,8.62,5.84,71.29,0,0.62,0,0,0,0,8.54,0,0
 48-58,0,0,0.66,4.67,2.85,0.39,0,0,0,0.51,4.5,2.55,110.99,0,0,0,0,0,0,11.83,0,6.68
 60-70,0,0,2.98,29.04,0,7.24,0,0,0,0,12.79,0,130.99,0,0,0,0,0,0,26.83,0,0
 72-82,0,0,2.73,28.01,1.84,0,0,0,0,0,8.03,0,192.52,0,0,0,0,0,0,31.08,0.5,0
 84-94,0,0,1.6,6.31,0,1.77,0,0,0,0,2.04,1.45,107.72,0,0.59,0,2.05,0,0,19.43,3.6,0.74
 96-106,0,0,1.3,5.86,0,0,2.16,0,0,0,9.51,2.12,45.66,1.55,0.96,0,1.18,0,0,8.96,0,0
108-118,0,0,1.19,4.02,1.14,1.19,0,0,0,0,7.08,3.39,54.33,0,0,0,0,0,0,0,0,7.79
120,0,0,7.19,25.19,0,1.12,6.09,0,3.26,0,7.89,8.33,130.07,0,0,0,0,0,0,20,2.24,0
