stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,74.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4,0,0,46.25,0,5.28,0,0,0,0,0,0,0,0,0
 10-12,0,8.88,0,62.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.1,0,0,995.15,0,0,0,20.06,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.12,11.28,0,0,0.87,0,10.42,0,1.3,0,2.19,0,0,0,0,25.93,0,0,1.02,45.17,52.11,0,702.04,2.1,0,250.13,0,0,203.97,221.55,0,0,0,0
 24-34,0,0,0,0,2.39,3.1,7.15,0,3.53,61.89,26.14,0,0,0,0,0,0,0,0,41.37,0,0,72.01,60.47,41.74,0,0,0,0,1.02,0.92,0.81,413.83,425.82,0,0,2.03,0
 36-46,0,0,0,0,12.94,0,0,0,12.05,142.4,21.72,5.12,0,1.03,0,0,0,0,0,124.77,0,0,63.71,57.87,0,0,0,0,0,12.21,0,4.77,3.35,321.82,0,0,0,0
 48-58,0.73,0,0,0,3.8,0,15.71,0.99,10.94,248.88,14.98,3.57,0,0,0,2.21,0,3.49,0,276.93,0,5.84,43.91,68.66,0,0,0,0.92,0,0,0,4,2.82,434.89,0,0,0.5,7.09
 60-70,0,0,0,0,3.4,0,12.55,3.09,25.35,328.77,9.65,1.57,0,0,0,0,0,0,0,219.72,0,8.04,23.76,96.68,0,0,0,1.17,0,0,0,2.69,0,342.33,0,0,0,12.12
 72-82,0,0,0.88,0,11.73,0,22.37,0.76,3.39,500.49,42.67,4.86,0,0.59,0,0,0,0,0,477.94,2.01,15.17,47.69,118.85,0,0.49,0,8.4,0,0,0,0,0,358.78,0,0.52,0,100.49
 84-94,0,0,1.16,0,8.87,1.44,38.73,0.72,17.14,421.51,39.3,18.03,0,0,0,6.49,1.79,1.81,0,465.32,0,30.08,41.2,70.16,0,0,0,15.11,0,0,0,1.02,0,366.35,0,2.79,0,83.01
 96-106,0,0,1.43,0,15.23,0,20.7,0.64,5.68,337.9,23.92,19.44,0,0,0,0,0,0,1.15,398.02,1.95,16.71,37.1,101.73,0,1.22,0,39.75,0,0,0,0,0,98.18,0,0,3.19,59.87
108-118,0,0,0,0,10.43,3.91,20.14,1,6.28,393.12,24.84,12.92,0,1.93,0,0,0,4.07,0,431.43,3.54,10.33,17.39,124.81,3.15,0,0,14.42,0,0,0,1.48,0,117.38,0.72,0,0.49,57.08
120,0,0,0,0,19.13,0,5.16,1.26,3.68,250.58,5.18,12.64,0,0,0,0,0,0,0,549.42,0,9.18,28.52,36.53,0,3.15,0,11.82,0,0,0,0,0,54.88,0,0,6.85,68.46
