stage,blastomeres,erythrocytes,immune,muscle,neural,olfactory,paraxial.mesoderm,spinal.cord,taste
  5-6,15.35,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,154.95,0,28.1,0,0
 10-12,0,5.32,0,0,13.24,0,10.6,0,0
 14-21,0,0.95,0,0.81,0,0,0,0,0
 36-46,0,0,0,0,2.05,0,0,0,0
 60-70,0,0,0.69,0,4.15,0,0,0.65,0
 72-82,0,0,0,0,1.77,0,0,0,0.5
108-118,0,0,0,0,5.01,0,0,0,0
120,0,0,0,0,0,3,0,0,0
