stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,vasculature,xanthophores
  3-4,22.33,183.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.13,0,0,0,0
  5-6,30.98,78.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.35,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,13.49,0,0,0,0,3.47,0,0,0,0,0,0,0,0,37.34,8.86,0,0,11.71,0,0,5.28,0,0,0
 10-12,0,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.12,11.79,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0,2.81,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.11,0,0,0,0.74,0,0,0,0,0,0,0,0,7.23,0,0,0,0,0,0,0,0.9,0,0
 36-46,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0.7,0,0,0,0,5.71,0,0,0,0,0,0,0,1.88,0,0
 48-58,0,0,0,0,2.42,7.36,0,0,0,0,0,0.51,0,0,0,0.71,0,0.67,8.72,0,0,0,0,0,0.4,0,0.69,0.81,0
 60-70,0,0,0,1.53,5.11,0,0,2.57,0,0,0,0,1.72,0,5.18,0,0,0,2.47,0,0,0,0,8.44,0,0,0,10.18,0
 72-82,0,0,0,0.86,8.12,0,0,3.12,0,0,0,0,0,0,1.32,0.74,0,0,1.44,4.45,0,0,0,0,4.46,0,0,0,0
 84-94,0,0,5.4,13.92,8.41,0,0,0,0.93,0,0,0,0,1.76,4.8,0,0,0,1.05,0,0,0.56,0,0,7.46,0,0,0,0
 96-106,0,0,1.18,5.29,4.82,0,0,4.29,0,0,0,0,0,0.77,4.56,0,0,0,4.77,0,0,0,0,0,10.02,0,0,0,1.38
108-118,0,0,0,5.56,5.29,0.6,0,1.03,0,0,2.01,4.74,0,2.82,3.41,4.8,0.74,0,3.56,0,0,0,0,0,2.98,0,0,0,3.72
120,0,0,0,0,18.35,0,10.32,2.39,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,5.04,0,0,0,0
