stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,22.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,25.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.05,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,19.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.91,0,0,4.65,0,3.78,0,0,0,0,0,0
 14-21,0,0,0,1,0,5.26,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35,0,0,0.87,0,6.11,1.83,1.81,2.44,0,0,0
 24-34,0,0,0,0,3,0,16.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5,0,33.19,0,0,0,0,0.65,22.48,0,0,0
 36-46,0,0,0,0,0.65,0,60.57,0,0,0,0.98,0,0,0,0,3.34,0,5.3,0,0,0,29.02,0,21.96,0,0.84,0.59,0,0,9.07,6.05,0,0.57
 48-58,0,0,0,0,2.72,0,168.12,0,0,0.86,10.5,0,0.55,0,0,1.55,0,1.2,0.52,0,1.82,66.72,0,35.3,0,0.65,0,0,0,12.58,0,0,0
 60-70,0,0,0,0,0,0,668.73,0,0,0,1.17,0,0,0,0,3.88,0,0,0,0.7,0,66.61,0,60.38,0,0,0,0,0,6.51,0,0,0
 72-82,0,0,1.01,0,2.09,1.02,1438.78,0,0.58,0.79,13.88,1.12,0,0,0,7.95,10.65,5.49,0,0,0,96.67,0,108.01,0,0,0,0,0,10.57,0.73,0,0
 84-94,0,0,0,0,7.89,0,785.72,0,0,1.81,14.62,0,0,0.79,0,8.24,0,6.54,0,0,0,84.88,0,158.51,0,1.14,0.82,0,0,3.42,1.61,0.77,0
 96-106,0,0,0.91,0,7.96,0,1101.22,0,0,0,8.14,0,0,0,0,14.6,0,11.44,0,0,0,64.72,0,189.43,0,2.11,0,0,0,1.19,0.66,0,0
108-118,0,0,0,0,7.73,0,769.28,0,0,0.64,7.85,0.95,0.99,0.42,0.65,8.57,1.09,11.29,0,0,1.97,63.09,0.67,186.49,0,2.23,2.96,0,0,7.73,0,0.65,0
120,0,0,0,0,0,0,436.61,1.99,0,0,29.95,0,0,0,0,14.75,0,22.34,0,0,0,162.75,0,210.97,0,0,0,0,0,0,0,0,0
