stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,36.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.85,0,0,3.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.81,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.24,0,0,5.12,0,3.07,0,0,0,0,0,0,0,0
 14-21,0,1.23,0,5.06,1.51,0,0,0,0,0,1.96,0,0.89,0,0,0,0,0,2.76,0,0,0.84,20.09,1.54,0,0,0,2.55,3.12,0,3.02,7.16,0,0,0,0
 24-34,0,1.26,0,2.7,0,0,5.49,0,0,0,0,0,0,0,6.18,0,0,1.77,5.24,0,0,5.9,56.54,1.36,1.29,0,0,7.39,0,0,0.78,7.7,0,0,0,0
 36-46,0,0,0,0,0,0,8.62,0,0,0,2.47,0,0,0,0,0,0,0,8.82,0,0.87,2.28,68.73,2.94,0,0,0,16.41,0,0,0,12.29,0,8.83,0,0
 48-58,0,0,0,2.17,0,0,11.51,0,1.49,0,3.71,0,0,0,0,0,0,0,12.65,0,0,1.48,60.97,0,0,0,0,28.32,0,0,0,21.19,0,4.47,0,0
 60-70,0,0,0,5.06,0,0,37.39,1.41,4.61,0,3.85,0,0,0,0,0,0,0,14.29,1.14,0,1.08,75.78,0,1.67,0,0,4.61,0,0,0,6.18,0,0,0,2.99
 72-82,0,0,0,2.1,6.42,0,29.3,0,0.81,0.6,4.37,0.58,1.31,0,0,0.74,0,0,18.11,0.58,0,0,40.86,0,0,0,0,8.74,0,1.23,0,12.47,0,0,0,3.18
 84-94,0,0,0,1.76,0,0,33.05,0,0.94,0,4.08,0,0,0,1.33,0,0,0.68,16.24,0,0,0,51.22,0.66,0,0,0,17.66,0,0,0,0,0,9.65,0.82,5.99
 96-106,0,0,0,2.98,0,0,30.07,0,3.92,1.66,6.19,1.5,0,1.55,0,0.67,0,0,21.18,0,0,2.22,60.85,0,0.56,0,0,17.42,0,0,0,2.15,0,1.29,2.11,0
108-118,0,0,0,4.57,0,0.48,13.34,0,1.08,0,13.95,0,0.69,1.44,0,0,0,0,8.13,4.67,10.31,0,29.59,0,0,0,1.63,15.13,0,0,0,7.36,0.86,2.67,0,0
120,0,0,0,17.21,1.28,0,8.03,0,8.52,0,17.66,1.94,0,11.27,2.36,0,1.19,0,21.02,0,0,0,52.64,0,1.28,0,0,14.15,0,0,0,0,0,0,0,0
