stage,axial,blastomeres,eye,hatching.gland,heart,melanocytes,mesenchyme,neural,paraxial.mesoderm,vascular.smooth.muscle,vasculature
  3-4,0,41.12,0,0,0,0,0,0,0,0,0
  5-6,15.12,17.8,0,0,0,0,0,0,0,0,0
  7-9,6.73,0,0,5.02,0,0,0,4.24,4.66,0,0
 10-12,0,0,0,0,0,0,0,3.92,11.22,0,0
 14-21,0,0,0,0,0,0,1.31,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.26,0,0,0
 48-58,0,0,0.63,0,0,0,0.48,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.09
 72-82,0,0,0,0,0,0,0,0,0,0.51,0
 84-94,0,0,0,0,1.46,2.48,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.12,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,4.84
120,0,0,0,0,0,0,2.32,0,0,0,0
