stage,erythrocytes,eye,immune,mesenchyme,muscle,neural,vascular.smooth.muscle,vasculature
 14-21,0.82,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.06,0,0,0
 36-46,0,0,0,0.65,0,0,0,0
 48-58,0.58,0,0,1.09,0.4,0,0,0
 60-70,0,0.98,0,1.52,0.6,0,1.03,0
 72-82,4.96,1.36,0,4.04,0,0,0,0
 84-94,2.72,4.32,0,2.53,0,0,0,0
 96-106,3.36,0,0,3.18,0,2.96,0,0
108-118,0,0,0.69,1.78,0,1.79,0,0.7
120,2.67,0,1.43,0,0,0,0,10.09
