stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,44.59,747.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.7,0,0,0,0,0,0,0,0,0
  5-6,30.03,468.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.75,0,16.45,0,0,0,13.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.02,0,0,0,5.08,0,0,6.2,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.3,0,0,0,11.93,0,0,0,0,13.63,0,0,0,0,0,0,0,0,0,0,0,70.53,4.73,0,0,11.81,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.81,6.87,2.05,0,7.72,0,0,29.45,1.67,0,0,0,0,0,0,0,0,2.17,0,0,0,133.3,1.16,0,0.84,0,0,1.18,0,5.93,0.93,8.41,50.54,0,0,0,0
 24-34,0,0,1.37,0.7,1.51,0.81,0,26.83,1.07,0,72.47,0,0,0.86,0,0,0.92,0,0,4.15,4.69,0,0,3.09,461.01,1.47,1.76,2.96,0,0,3.14,0,2.48,0,1.96,244.94,0,1.15,0,0
 36-46,0,0,0.94,0,2.45,0,0,35.6,0,0,199.99,0,0.76,4.35,0,0,0,0,0,0,5.35,0,0,1.4,819.18,2.41,1.45,12.11,0,0,0,1.59,2.78,0,0,277.64,0,0,0,0
 48-58,0,0,0,0,4.85,0,0,114.76,2.05,0.41,297,0,0,2.56,0,0,0,0,0,9.04,21.8,0,0.87,3.33,1003.78,7.54,4.63,14.04,0,0,2.66,0,1.23,0,0,226.86,0,2.6,0,0
 60-70,0,0,0,0,8.13,0,0,561.93,1.09,0,398.43,0.63,0,1.48,0,0,4.6,0,0,0,27.16,0,7.73,2.21,1696.97,2.2,0.89,12.21,0,0,5.02,0,3.06,0,0,258.6,0,0,0,0
 72-82,0,0,0,0,11.55,0,0,642.61,0,0.78,425.28,5.33,0,1.95,0,0,1.4,1.93,0.79,0,51,0,8.13,5.32,1560.91,0.73,0,10.11,0,0,1.39,0,1.52,0,0,112.02,0,0.63,8.3,6.97
 84-94,0,0,2.22,0,7.62,0,0,349.03,1.29,8.98,259.2,5,0,3.18,1.06,0.8,0,0,0.57,6.9,43.42,0,4.01,2.74,956.55,0.58,2.48,10.56,0,1.75,7.45,0,2.48,0,0,102.41,1.7,0,0.61,0
 96-106,0,0,0.88,0,7.15,3.08,0,391.14,0,0,245.28,4.81,0,0,0.68,0,0.76,0.61,0,0.65,27.9,0,3.14,3.55,839.31,0,1.7,8.51,0,0,5.21,0,2.74,0,0,42.1,0,2.8,0.87,2.07
108-118,0,0,0,0.74,7.83,0,2.41,299.85,2.34,5.36,317.94,5.69,0,2.65,0.64,0,1.01,1.1,0.42,0,57.68,1.41,15.69,4.41,922.17,0,1.27,17.05,0,0,2.65,0,0.54,0,0,25.78,0,0.99,1.3,0
120,0,0,0,0,24.2,0,14.01,426.18,0,0,393.95,0,0,0,0,0,0,0,0,0,65.66,0,0,0,1531.57,1.03,10.58,17.8,0,0,0,0,0,0,0,61.88,0,0,0,0
