stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,10.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.22,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,72.77,29.17,0,0,0,0,0,1.26,1.01,0,0,0.93,34.71,0,0,0,0,0
 24-34,0,1.43,2.72,0,0,16.98,0,0,0.74,0.92,0,0,0,0,0,0,0,0,0,1.46,0,0,0,984.29,1.86,35.96,0,0,0,0,0,0,0,0,0,259.44,0,0,0,0,0
 36-46,0,3.32,1.52,0,0,67.53,0,1.39,0,9.76,0,0,0,0,0,0,0,0,2.38,3.52,3.65,8.23,1.18,2090.19,1.05,21.59,3.06,0,0,1.85,0,0,0,0,0,402.05,0,0,2.7,0,0
 48-58,0,0,15.86,3.98,0,523.74,0,6.3,0,56.83,0,0,0,1.5,0,0,0,0,0.38,24.35,0,0.56,2.38,3660.59,0.63,20.9,0.63,0,0,3.76,0.56,0,0.42,2.26,0,577.99,0,0,3.13,0,6.19
 60-70,0,1.2,12.93,1.61,0,2327.38,10.49,0,0.81,51.5,0,0.66,0,0,2.48,10.79,2.33,0,0,45.57,0,0,10.2,5372.94,0,22.69,2.22,0,0,2.85,0,0,0,0,0,719.47,0,0,2.67,0,10.22
 72-82,0,2.35,32.77,9.89,0,3743.21,0,0,12.09,117.02,4.77,0,0,18.45,0,2.8,0,10.27,3.31,42.62,0,0,1.39,6762.28,3.45,40.15,5.42,0,0,9.53,0,0,0.68,0,0,613.42,3.53,0.53,15.26,0,10.61
 84-94,0,2.41,29.05,5.09,1.48,2511.86,3.35,10.84,0,88.46,1.31,0,1.12,0.65,0,12.07,0,0,0,50.69,0,8.29,5.32,4197.77,0,31.53,3.15,0,0,1.8,0,0,0,0.68,0,372.4,1.17,4.19,1.59,5.62,1.16
 96-106,0,0.89,30.72,20.77,0,2498.61,0.88,3.1,3.44,101.22,2,0,0,3.75,0.87,0.81,1.77,17.22,0,41.76,0,1.25,0.97,4033.74,1.35,28.73,9.98,0,1.44,21.88,0,0,0,0,0,264.1,1.22,2.08,2.1,4.83,9.59
108-118,0,0.75,46.63,8.73,4.57,2335.37,0,0,2.27,125.62,1.15,0,0,4.1,0.86,7.43,0,3.31,0,43.02,0,0,6.34,4865.79,0,34.46,5.18,0,0,6.48,0,0,1.75,0,0,174.49,2.78,0.41,3.42,2.25,0
120,0,3.01,68.89,8.29,0,2387.6,5.69,3.98,4.38,211.08,1.33,0,0,11.09,0,0,4.83,10.27,1.61,103.89,2.98,0,5.74,9790.21,8.11,61.71,40.35,0,15.08,12.28,0,0,0,0,0,514.93,0,0,12.1,0,4.37
