stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,9.65,124.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,189.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.32,0,0,0,0,3.78,0,0,0,0,0,0,0,66.39,5.05,0,5.45,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.89,3.29,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1.56,2.45,0.96,0,0,0
 24-34,0,0,0.6,0,1.71,0,0,0,0.96,0,0,0,0,0,0,0.59,5.11,0,0,103.04,0,0,0,0,3.86,0,3.38,0,0,0
 36-46,0,0,0,0,2.13,0,6.09,0,0.61,0,11.21,0,0,0,0,0,6.76,0,0.96,217.52,0,0.58,0,0,1.42,0,6.58,0,0,1.04
 48-58,0,0,0,0,6.76,0,4.9,0,0,0,4.84,0,0,0,0,0,15.06,0,0,322.86,0,0,0,0,0,0,4.05,0,0,0
 60-70,0,0,0,0,0,0,12.97,0,0,7.26,4.56,0,0,0,0,0,30.73,0,0,247.39,0,0,0,0.71,0,0,2.94,0,0,0
 72-82,0,0,0.87,0,0,0,47.28,0,0,0,12.02,0,0.86,0,0,0,57.77,0.97,0,377.26,0,4.43,0,0,1,0,3.3,0,0,0
 84-94,0,0,0,0,0.73,3.32,144.64,0,0,0,4.09,0,0,0,0,0.58,73.82,0,0,425.12,0,0.9,0,0,0,0,21.32,0,0,0
 96-106,0,0,7.74,0,6.64,1.27,54.96,10.44,0,0,13.7,0,0,0,0,0,98.64,0,0,334.11,0,4.24,0,0,0,0,0,0,0,0
108-118,0,0,9.97,0,0,0,229.62,0,0,0,21.22,0,0,0.61,7.33,0,148.82,0,0,331.09,0,1.27,0,0,0,0,0,0.82,0.41,0
120,0,0,7.37,0,1.71,0,79.74,0,0,0,18.38,0,0,0,0,0,206.15,0,0,593.98,0,0,0,0,0,0,0,4.63,0,0
