stage,epidermis,eye,glial,gut,ionocyte,mesenchyme,neural,notochord,olfactory,somites,spinal.cord
 14-21,0,0,0,0,0,0,2.25,0,0,0.93,0
 24-34,0,0.69,0,0,1.18,0,7.8,0,0,0,1.02
 36-46,0,4.1,0,0,0,0,1.07,0,0,0,5.75
 48-58,0,0.77,0,0,0,0,14.86,4.8,0,0,0
 60-70,0,13.71,2.81,0,0,0.88,18.85,0,0,0,3.03
 72-82,0.8,1.79,1,0,0,0,7.52,0,1.22,0,0
 84-94,0,4.8,0,0,0,0.64,2.08,0,0,0,0
 96-106,0,3.8,0,0,0,0,0,0,0,0,0
108-118,0,1.41,0,0,0,0,11.75,0,0,0,0
120,0,0,0,1.54,0,0,2.67,0,0,0,0
