stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.74,1142.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897.26,0,0,0,0,0,0,0
  5-6,25.45,3202.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.14,0,0,8.27,299.85,0,0,0,0,0,0,0
  7-9,14.88,189.17,3.23,0,0,1915.37,0,0,6.32,0,0,0,0,0,0,0,0,4749.52,9.76,0,439.76,6.84,0,0,0,0,0,0,0
 10-12,0,67.22,0,0,0,891.09,0,0,0,0,0,0,0,0,0,0,0,2226.94,8.16,0,168.66,0,0,0,0,0,0,0,0
 14-21,0,0,0,80.89,3.46,20.51,0,0,0,0,0,0,0,12.83,3.59,0,24.76,60.23,3.51,5.18,0,8.17,23.91,12.98,35.61,0,0,0,0
 24-34,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0.8,4.05,0,1.45,0,0,0,0
 36-46,0,0,0,2.07,0,0,1.64,0,0,0,0,0,0,0,0,0,0,23.01,0,0,0,0,2.24,0,1.8,0,0,0,0
 48-58,0,0,0,0,0,54.6,1.44,0,0,0,0,0,0,1.55,0,0,0,58.52,0,0,0,0,0.56,0,6.19,0,0,0,0
 60-70,0,0,0,0,0,338.13,0.69,0,0,0,0,0,0,0,0,0,0,103.19,0,0,0,0,0,0,2.79,0,0,0,0
 72-82,0,0,0,3.48,1.02,856.16,7.83,0.6,0,0,1.84,0,0,7.9,0,0,0,208.44,0,0,0,1.14,0,0,3.78,0,0,0,0
 84-94,0,0,0,0.76,0,480.09,11.61,0,0,0,0,0.65,0,7.65,0,0,0,211.47,0,0,0,0,0,0,1.29,1.91,0,0,0
 96-106,0,0,0,3.01,3.34,936.73,21.66,0,0,1.16,0,0,9.03,7.3,0,1.34,1.67,198.81,0,0,0,0.72,0,0,1.09,0,0,3.07,5.4
108-118,0,0,0,0.53,0,1055.68,11.19,0.71,0,0,0,0,1.19,0.89,0,0.66,0,374.66,0,0,0,0.45,0,0,0,0.71,1.73,0,0
120,0,0,0,1.96,0,269.01,6.7,0,0,0,0,0,0,12.71,0,0,0,806.94,0,0,0,0,0,0,0,0,0,7.28,3.15
