stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.25,117.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.13,0,4.2,0,0,0,21.97,0,0,0,0,0,15.89,0,0,0,0,0,0,0,0,0,0,148.11,14.14,0,60.67,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.69,3.45,0,17.36,0,9.87,0,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,190.22,0,0,52.06,0,0,0,14.21,0,0,0,0,0,0
 14-21,0,0,0.9,2.92,1.86,0,2.33,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,2.04,21.27,0,0,0,0,0,2.61,0,0.81,6.95,0,0,0,0
 24-34,0,0,0,2.05,2.51,0,7.73,8.76,0,0,1.21,2.67,0,0,0,0.61,0,0,0,5.64,0,0,10.14,56.13,0.83,0.61,0,0,0,0,0,0.63,13.69,0,0,0,0
 36-46,0,0,0,0.69,0,0,30.83,1.31,0,0,0.58,0,0,0,0,0,0,0,0,11.48,0,0,1.49,74.32,0,0,0,0,0,0,0,0,8.71,0,0,0.78,3.55
 48-58,0,0,0,7.22,0,0,16.7,0.67,0.4,0,3.88,0,0,0,0,0,0.98,0,2.47,5.85,1.32,0,2.99,79.87,0,0,0,0,2.74,0,0,0,4.84,0,0,0,5.3
 60-70,0,0,0,0,0,0,38.91,1,0,2.5,0,0.63,0,0,0,0,0,0,2.53,5.56,0,7.24,3.45,75.62,0,0,0,0,0,0,0,0,0.64,0,0.66,0,0
 72-82,0,0,0,0,0,0,14.28,7.66,0,0,3.65,0,0,0.73,0,0,0,0,0,0.72,0,0,4.6,36.01,0.51,0,0,0.84,2.62,0,0,0,3.49,0,0,0,5.67
 84-94,0,0,0,0,0,0,3.23,7.74,0,0.6,4.04,0,0,0,0,0,0,0,0,8.06,0,0,1,7.43,0,0.97,0,0,0.76,0,0,0,1.19,0,1.75,0,0
 96-106,0,0,0,2.47,0,0.59,9.88,0,0,0,3.93,0,0,0,0,0,1.8,0,2.05,7.25,0,0,0,17.49,0,0,0,0,6.26,0,0,0,4.9,1.64,0,0,0
108-118,0,0,0,0.45,0,2.17,24.08,0,0,2.91,2.93,0.47,0,0,1.01,0,0,3.71,0.5,7.96,0,0,0.48,21.93,0,1.69,0,0,10.1,0,0.47,0,0,0,0.88,0,0.92
120,0,0,0,9.03,1.56,0,29.63,1.33,0,0,14.1,0,0,0,0,0,1.11,1.74,0,7.4,2.21,1.26,1.96,26.74,0,1.74,0,0,0,0,0,0,0,0,0,0,0
