stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.19,146.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,59.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71,0,0,0,5.08,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.59,0,0,0.69,19.19,0,0,0,0,0,0,10.1,0,5.2,0,0
 36-46,0,0,0,1.08,0,0.69,0,0,0,0,0,6.56,0,0,0,134.84,0,0,0.8,0,0,0,13.92,0,5.92,0,0
 48-58,0,0,0,0,0,10.28,0,1.06,0,0.4,0,11.3,0,0,0,316.16,0,7.15,0,0,0,0,32.54,0,2.95,0,0
 60-70,0,0,0,0.9,0,39.69,0,23.42,0,0,0,18.12,0,0,0,574.14,0,0.96,0,0,0,0,46.11,0,0,0,0
 72-82,0,0,0,4.41,2.06,56.64,0,10.49,0,0,0,31.01,0,0,1.06,660.48,0,0,0.79,0,0,0,45.09,0.56,2.66,0.91,0
 84-94,0,0,2.22,5.27,0,57.45,0,5.39,0.86,0,0,20.06,0,4.57,2.96,444.91,0,0,0,0,4.92,0,64.54,0,0,2.23,8.64
 96-106,0,0,0,3.85,9.94,83.76,0.61,14.2,0,0.58,9.55,28.63,0,0,0,402.52,0,0,1.14,0,5.84,8.83,27.35,0,0,0,0
108-118,0,0,0,0.42,0,57.96,0,20.54,0,0.82,0,45.62,0,0,3.43,395.13,0.69,0,0,0,0,0,17.36,4.74,0,0,0
120,0,0,0,4.73,0,46.2,0,27.78,0,0,0,6.12,1.65,0,5.35,722,0,0,1.29,0,0,0,32.1,0,0,0,0
