stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
 14-21,0,0,1.06,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,6.64,0,0,75,0,1.66,0,0,0
 24-34,0,1.26,0,0,0,0,0,0,1.06,0,0,0,0,0,0,2.72,0,0,22.21,0.75,0,169.25,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.42,0,0,0,0,0,0,0,0,0.82,0,3.54,5.05,2.74,0,215.17,0,2.35,0,0,0
 48-58,0,0.67,0,0,1.75,0,1.03,0,0,0,0,0.49,0,1.02,0,4.19,1.17,0.76,19.5,0,4.77,97.72,0,1.61,0,0,0
 60-70,0,0,0,0,7.71,0,0,0,6.92,0,0,0,0,1.17,0,8.53,0,0,6.03,0.83,0,168.25,0,4.29,0,2.21,0
 72-82,0,9.23,0,0,3.89,0,1.25,0,1.1,0,0,0,0,0,1.8,6.14,0,0,30.7,0,0,131.18,0,0,0,0,0
 84-94,1.33,4.13,0,0,8.8,0,5.85,0.58,4.55,0,0,0,0,2.16,0,4.43,0.86,0,19.57,0.66,0,331.43,0,0,1.8,0,0
 96-106,0,49.02,0,0,7.49,0,2.95,0,8.71,4.61,1.32,0,1.38,4.46,0,5.46,3.68,0,21.23,0,0,414.88,0,0,0,0,2.89
108-118,0.71,35.42,0,0.51,4.32,0.76,5.36,0,0.8,1,0,0,0.75,4.52,0,7.25,5.45,0,9.23,1.84,0,351.79,1.26,2.03,0,1.41,0
120,0,32.11,2.01,0,0,0,6.92,0,0,1.41,0,0,0,1.39,0,0,1.1,0,16.68,0,0,254.69,0,0,0,0,0
