stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,0,433.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.69,0,0,0,0
  5-6,31.77,110.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,0,0,7.38,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0,0,2.34,3.34,0,0
 24-34,0,0,0,0,0,5.81,0,0,0,0,0,0,0,0,0,0,0,57.25,3.22,0,0,0,1.41,0,10.75,2.2,0
 36-46,0,0,0,0,0,1.18,0,0,0,0,0,0,0,1.82,0,0,0,217.53,1.03,0,0,0,0,0,20.67,0,0
 48-58,0,0,0,0,0,15.96,0,4.52,0,0,0,0,0,3.59,0,0,4.73,326.69,1.67,0,0,0,0,0,21.13,0,0
 60-70,0,0,0,0,0,90.18,0,10.87,0,0.88,0,0,0,3.28,0,0,0,942.49,5.12,0,0,0,5.69,0,53.29,0,0
 72-82,0,0,0.62,3.08,4.22,148.38,0,11.6,1.5,0,0,0,0,11.14,1.48,6.78,0,926.66,0,2.02,0,0,0,3.15,55.35,3.2,5.59
 84-94,0,0,1.26,8.15,0.68,118.83,0,12.13,3.76,0,0,0,0,29.25,0,0,0,715.38,1.13,0.57,0,0,0,0,53.81,0,0
 96-106,0,0,0,1.23,0,82.81,0.81,10.19,0,1.61,0,0,0,8.4,0,0,0,618.9,0,0,0,1.51,2.37,0,16.22,0,0
108-118,0,0,0,7.04,0.96,83.82,0,27.51,4.13,0,0.63,0.56,0.63,13.17,0,0,0,757.05,0.49,1.28,0,0,0,0,31.86,0,7.81
120,0,0,0,14.04,0,147.28,0,17.07,0,0,0,0,0,6.59,0,0,3,1142.34,0,0,0,0,7.06,0,0,2.96,0
