stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,44.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1583.92,0,0,0,0,0,0,0,0,0
  5-6,20.45,111.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2424.77,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98,0,0,0,0,0,0,0,0,0,0,0,66.02,4.49,0,0,31.71,432.45,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.12,0,0,0,6.72,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,116.57,0,0,0,62.28,123.71,3.57,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.81,0,0,1.1,0,0,0,0,0,0,0,0,1.78,0,0,0,0,0,2.51,0,0,5.93,14.42,0,0,0.94,1048.48,0,0,0.93,1.44,0,0,0,0,0
 24-34,0,0,0,0,13.56,0,0,19.59,0,1.33,0,0,0,0,0,0,8,0,0.64,1.38,0,15.07,20.4,0,1.89,113.12,0.59,0,1.55,0,3037.29,0,0,0,16.05,0,0,3.5,0,5.07
 36-46,0,0,0,0,1.77,0,0,8.7,0,15.66,0,3.62,0,0,1.7,2.39,18.68,0,0,0,0,5.95,30.91,0,0.63,63.73,0.59,0.83,0.57,0,3585.94,0,0,0,10.38,0,0,12.9,0,0
 48-58,0,0,0,0,2.25,0.41,0,24.85,0,16.92,1.39,6.01,0,1.19,0,0,7.41,0,0,1.02,6.68,10.59,10.49,0,2.39,64.79,0.99,1.55,0,0,2541.14,0,0,0,14.57,0,0,0.51,0,0
 60-70,0,0,0,0,14.61,0,0,35.38,0,32.66,0,1.8,0,0,0,0,10.08,0,0,0,0,5.85,13.92,0,0,73.01,0,0,0,0,3001.34,0,0,0,6.85,0,0,0,0,21.91
 72-82,0,0,0,0,11.08,2.01,0,55.93,0.55,25.75,0.64,5.23,0.64,0,0,0,27.52,0,0.92,1.31,0,22.98,8.73,0,1.5,108.56,0.76,1.63,1.55,0,2671.59,0,0,0,4.73,0.87,0.63,4.2,0,5.57
 84-94,0,0,0,0,40.03,19.43,0,97.24,1.38,66.23,0,1.56,4.63,0,2.4,0,81.95,1.34,0,0.83,0,24.13,38.11,0,0,60.19,0,0,1.36,0,9004.06,0,1.17,0,0,1.63,0,2.78,0,0
 96-106,0,0,0.95,0,59.67,25.51,0,408.01,1.89,84.55,0,12.03,15.92,0,0,1.17,62.13,0.67,3.52,31.01,0,25.87,45.86,7.82,8.59,157.26,0,2.07,0,0,6523.74,0,1.79,0,21.32,1.02,0,2.32,0,11.39
108-118,0,0,1,0,33,0,2.58,389.03,1.58,63.52,7.92,4.88,2.9,0,1.81,0.59,56.58,0,1.31,6.38,0.91,14.49,59.4,1.35,6.97,110.42,0,1.13,0,0,4429.9,0,0,0,0,3.14,1.74,1.89,1.58,0
120,0,0,0,0,29.26,7.14,0,281.8,0,71.84,0,10.3,1.52,0,0,1.92,36.09,0,0,3.99,0,45.1,45.32,0,1.8,95.64,1.87,3.79,0,0,2620.97,0,0,0,1.95,0,0,0,0,8.45
