stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature,xanthophores
  3-4,0,12.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.06,93.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.58,0,0,6.92,0,4.3,0,0,0,0
 10-12,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15,0,0,3.79,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0.66,13.18,0,0,0,0.66,0,0,3.52,0,0
 36-46,0,0,0,0,8.35,0,0,0,0,0,0,0,0.94,0,0,0,21.47,0,0,0,8.83,0,7.37,1.57,1.74,0
 48-58,0,0,2.92,0,5.77,7.82,0.4,7.82,0,0,0,1.3,7.1,0.4,0.51,0.5,36.32,0,0,0,1.23,0,0,0,0,2.17
 60-70,0,0,0,0,14.1,0,0,3.83,0,0,0,0,2.68,0,0,0,9.11,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,4.54,0,0,0.52,0,0,0,2.52,3.52,0,0,6.07,11.71,0.75,0,0,0.51,0,0,2.99,0,0
 84-94,0,0,5.51,0,4.97,0,0,0.73,0,0,0,0,1.38,0,0,0,0,0,0,0,2.22,0,0,4.13,0,0
 96-106,0,0,1.77,0,0.8,0,0,0,0,0,0.63,0,2.47,0,0,0,1.58,0,0.57,0,2.24,0,0,0,0,0
108-118,0,0,0.92,0.43,13.79,0,0,2.71,0,0,0,0,0,0,6.85,0,0.82,0,0,0,0,0,0,0,0,5.43
120,0,0,0,0,0,0,0,0,2.96,0,0,0,2.86,0,0,1.01,25.05,0,5.44,0,0,0,0,0,0,0
