stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.5,343.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.74,637.36,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0,39.48,0,0,0,0,0,18.78,0,0,0,0,0,0,0,0,0,0
  7-9,4.99,7.36,0,29.48,0,0,0,46.66,0,0,0,0,0,21.14,0,0,0,0,0,0,0,0,0,0,328.29,0,0,0,124.12,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.72,0,0,0,0,0,30.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.6,0,0,0,70.65,0,0,4.19,13.22,0,0,9.29,0,0,0,0,0
 14-21,0,0,1.09,4.93,76.73,19.13,0,21.12,0,0,0,12.79,1.71,0,0.85,0,0.8,0,0,0,1.79,42.18,0,28.78,593.69,5.31,2.8,4.53,9.35,0,2.12,49.58,3.69,0,40.74,144.74,0,0,1.09,0,0
 24-34,0,0,0,1.92,22.93,1.52,0,77.5,0,3.17,1.34,14.9,2.01,0,2.94,0,0,0.7,0,1.43,1.34,57.89,0,18.13,813.51,0.73,3.46,8.44,0,0,9.79,1.03,0,1.27,8.53,156.68,0,0,20.88,0,0.69
 36-46,0,0,0,0,7.47,0.76,0,127.44,0,0.62,2.52,45.63,0,0,1.28,1.52,10.87,0,0.74,2.63,1.83,61.63,2.58,19.06,625,5.17,3.09,2.98,0,1.94,22.2,0,0,0,0,146.86,0,0,18.59,0,0.85
 48-58,0,0,0,0,9.33,0,0,181.63,0,6.98,4.26,50.93,0,0.57,0,0.4,7.22,0,3.5,0,0.48,70.77,1.49,12.86,394.05,7.2,0.4,4.54,0,0.56,13.4,0,1.17,0,0,82.83,0,0.61,11.52,0,1.47
 60-70,0,0,0,0,2.51,0,0,161.12,0,1.45,6.98,55.69,7.1,0,0,8.48,0.61,0.61,3.45,2.11,6.07,74.52,0.7,22.6,376.36,0,0.96,5.78,0,0,11.72,0,0,1.33,0,50.69,0,0,6.81,0,0.7
 72-82,0,0,0.93,0,4.54,8.87,0,173.72,0,0,10.26,62.19,5.84,0.6,1.41,2.18,1.23,0,3.91,1.87,0,121.31,4.47,12.43,269.97,0,1.53,6.01,0,1.98,5.77,0,7.18,0,0,28.66,1.19,2.54,6.63,0.67,0
 84-94,0,0,0,0,11.41,0.63,0,99.25,0,0,2.03,45.76,3.23,0,0.8,0,1.76,12.64,0.95,1.73,0,93.79,0.85,14.93,144.17,0.66,1.33,1.27,0,0,13.47,0,1.09,0,0,14.91,2.8,1.25,4.16,0,4.31
 96-106,0,0,3.36,0,9.02,0,0.66,29.33,0,5.14,0.64,41.04,1.54,0,1.67,3.97,1.39,0.95,0,0.69,0,83.43,0.67,16.77,117.58,0,0.67,4.08,0,0,15.46,0,0.63,0.82,0,9.89,0,1.44,8.27,2,3.5
108-118,0,0,0,0,6.67,1.09,0.58,50.23,0,0,1.9,43.53,1.74,0,0,0.63,0.81,0.53,2.41,5.35,0.61,84.14,5.19,6.46,149.72,0.71,0,2.01,0,1.23,12.96,0,0.47,0.47,0,12.64,2.02,1.93,2.63,0,0
120,0,0,0,0,23.32,3.31,0,46.03,7.22,0,4.8,46.14,3.16,0,1.85,0,1.25,0,2.13,0,0,46.82,3.46,8.85,160.5,2.42,2,9.21,0,0,5.29,0,0,0,0,2.03,1.63,0,6.06,0,0
