stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,54.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.37,4.67,0,0,28.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.32,10.77,0,0,24.6,3.07,4.61,5.43,0,0,0,0,0,0,0
 14-21,0,0,5.92,3.96,0,1.21,0,0,0,0.85,0,0,32.38,0,0,0,0,0,1.93,0,0,0,29.64,3.35,0,1.32,2.52,2.39,2.54,0,3.18,5.41,0,0,0,0,0
 24-34,0,0.66,5.33,2.55,0,5.32,0,0,0,0.98,0,0,140.55,0,0,0,0,0,4.56,0,0,0.91,45.81,0.67,0,1.14,0,18.87,0,2.56,0.6,6.51,0,0,3.57,0,0
 36-46,0,0,3.63,2.7,0,3.96,0,1.19,0,2.15,0,0,279.12,0,0,0,0,2.45,8.28,0.58,0,0,14.04,3.16,0.64,0.72,0,11.58,0,0.82,0,4.69,0,0,5.16,0,0
 48-58,0,0,2.47,14.35,0,1.21,0,0,0,2.03,0,0,272.74,0,0,0,1.54,0,10.91,0,0.55,1.18,23.07,0,0,0,0,15.15,0,0,0,0,0,0,23.83,0,1.67
 60-70,0,0,0.63,19.29,0,4.93,0.99,0,0,1.18,0,0,471.11,0,0,0,0,4.52,15.67,0,2.57,0.99,30.56,0.87,0,0.65,0,10.84,0,0,0,2.05,0,0,36.58,0,0
 72-82,0,0,2.82,73.08,0,10.58,0,0,0,0,0,0,589.38,0,0,1.56,0.82,0,14.3,1.31,3.75,8.39,15.41,1.66,0,2.52,0,5.56,0,4.01,0,0,0,0.91,71.58,0,0
 84-94,0,0,1.75,102.25,0,9.05,0,0,0,4.08,1.53,2.66,911.78,0,0,0,0.58,0,9.34,0,0,2.51,9.7,2.98,0.76,1.67,0,17.95,0,0,0,0,0,0,55.99,0.77,0
 96-106,0,0,7.15,161.24,0,8.17,0,7.08,0.58,0.68,0.78,0,936.73,1.22,0.66,0.77,6.11,0,15.26,0,0,0.57,61.12,1.93,0,0.63,0,13.83,0,0,0,0,0,1.23,79.29,0,0
108-118,0,0,6.92,137.37,18.41,6.77,0,0,1.3,4.6,0.51,0,856.7,0.6,0.61,0,0,3.02,14.93,0,2.61,0.61,17.95,8.11,0,0,0,16.67,0,0.41,0,3.2,0.92,2.35,67.45,0,1.98
120,0,0,8.63,172.49,5.78,9.56,0,0,0,5.65,0,5.2,1331.34,0,0,0,0,0,36.12,0,0,3.92,41.66,5.5,0,0,0,6.16,0,0,0,5.26,0,3.48,84.8,0,0
