stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,111.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,77.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.74,0,0,0,5.09,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.09,0,0,0,0,0,6.12,0,0
 14-21,0,0,1.91,0,0,0,0.95,0,0,0,0,1.39,0,0,14.53,0,0,0,0,0,0.83,0,4.95
 24-34,0,0,0.61,0.99,3.35,0,0,0,0,0,0,0.76,0,0,37.43,0,0,0,0,0,0,0,14.37
 36-46,0,0,0.57,0,0,0,0.83,0,0,0,0,2.93,0,0,11.06,0,0,0,0,0,0,0,3.11
 48-58,0,0,6.87,0,5.25,0,0,0,0,0,0.37,0.39,0.56,0,5.38,0.43,0.44,0,0,0,0,0,0.42
 60-70,0,0,0,0,3.61,0,0.57,0,0,0,0,1.07,0,2.69,7.73,0,0,0.83,0,1.9,0,0,0
 72-82,0,0.56,0,0,3.56,0,1.73,0,0,0,0,2.64,0,0,6.02,0,0,0.53,0,2.73,0,0,1.52
 84-94,0,0,0,0,3.72,0,2.8,0,0.55,0,0,2.03,0,0,2.16,0,0,0,0,3.76,0,0,0.93
 96-106,0,0,0,0,0,1.05,0.94,1.56,0,0,0,8.37,0,0,5.71,0,0,0,0,9.19,0,0,0
108-118,0,0,1.66,0,4.32,0.45,0,0.43,0.67,0,0,3.05,0,0,2.13,0,0,0,0,0,0,0,0.47
120,0,0,0,0,4.08,0,1.51,0,0,2.19,0,1.75,0,0,17.22,1.62,0,0,0,23.22,0,1.08,3.71
