stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,437.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.59,172.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,90.04,0,414.78,0,6.96,133.61,0,0,0,0,14.21,0,0,0,0,0,0,0,0,0,3088.48,0,0,0,465.65,4.16,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.16,0,121.32,0,0,3.85,0,0,0,0,0,0,0,0,0,0,12.78,0,0,0,781.41,49.2,0,0,1318.19,0,9.22,88.1,0,14.12,4.33,0,0,0,0,0
 14-21,0,0,0,0.98,13.94,6.75,8.08,0,0,1.53,0,0,2.22,0,0,0,0,101.58,12.44,0,14.99,148.06,5.8,0,0.84,8.51,2.61,344.98,4.08,6.19,127.33,56.07,0,0,0,0,0
 24-34,0,0,0,0,2.69,2.03,10.58,0,9.91,0,0.73,0,3.05,0,1.57,0,0,40.02,96.57,0,60.36,215.2,1.72,3.02,3.85,0,2.42,0,19.72,0.88,26.85,47.52,0,0,14.37,0,0
 36-46,0,0,0.74,0,6.98,0,21.16,1.5,10.44,2.34,0,0,3.88,0,0,0.86,0,13.6,333.54,1.78,37.91,122.75,0,0,0.61,0,0,0,15.68,0,1.09,24.53,0,0,1.21,0,0
 48-58,0,0,0,0,2.99,0,83.93,0,7.77,21.5,0,0,4.3,0,0.4,0,0,9.18,352.87,3.68,37.34,202.26,0,0.41,2.52,0,0,0,1.01,0,0,49.55,0,1.42,8.19,0,1.89
 60-70,0,0,0,0,8.18,0,88.96,0.62,25.75,13.03,0,0,0.87,0.66,0,0,0,3.23,604.52,0.89,35.67,93.41,0,0.92,3.42,0,10.44,0,3.95,0,0,34.68,0,1,0,0,0
 72-82,0,0,0,0,4.03,0.71,128.74,1.61,9.17,26.71,0.51,0,0,0,0.7,0,0.74,4.56,529.75,3.36,31.32,80.79,0.73,0,5.44,0,1.8,0,7.99,1.06,0,2.74,0,2.88,1.95,1.39,0
 84-94,0,0,0,0,8.28,4.06,67.34,5.38,14.48,13.01,1.7,0,1.21,0,0,0,0.73,28.38,535.47,5.78,18.28,46.97,0,2.97,2.98,0,1.33,0,7.76,0,0,14.93,1.21,0,6.06,0.63,0
 96-106,0,0,0,0,7.65,8.42,45.8,0.93,7.19,8.38,1.07,0,0,1.53,0.82,0,1.05,15.48,581.93,2.86,13.08,28.46,0,2.08,7.17,1.2,3.02,0,11.18,0,0,0,0.88,1.48,0,1.71,0
108-118,0,0,0,0,8.97,15.81,83.71,0,4.48,12.27,2.11,0,0,1.98,0.51,0.42,1.14,21.81,806.78,1.7,9.67,108.64,0.47,1.78,1.86,0,0.44,0,11.18,1.2,0,5.97,1.48,2.96,0.45,0.69,0
120,0,0,0,0,1.61,9.31,59.35,0,3.46,23.2,6.41,0,0,2.71,0,8.35,2.53,5.88,606.51,10.41,15.56,120.26,0,0,7.78,0,0,0,9.5,0,0,0,5.96,0,0,0,0
