stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,19.68,0,0,0,0,0
 10-12,0,11.38,0,0,0,0,0,0,0,0,0,0,9.2,0,8.19,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.39,0,0,0,2.21,0.91,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.75,0,14.19,0.96,0,0,3.29,0,0,0
 36-46,0,0,0,0,1.62,0,0,0,0,0,0,0,8.59,0,0,7.49,0.95,0,0,0
 48-58,0,0,0,0,7.74,0,0,0.38,0,0,8.07,0,19.7,0.38,0,2.44,0.86,0,0,0
 60-70,0,0,0,0,3.78,0,0,0,0,0,3.63,0.98,49.82,0,0,0,0,0,0.81,2.89
 72-82,0,0,1.07,0,11.09,0,1.92,0,0,0,2.36,1.36,30.49,0,0,0,0,0,0,0
 84-94,0,0,0.67,7.43,0.82,0,2.76,0,0,0,1.99,0,5.85,0,0,0.93,0,0.71,0,0
 96-106,0,0,0,0,4.02,0,0,0,1.08,0,5.34,0,6.23,0,0,3.44,0,0,0,0
108-118,0,0,0.6,0,3.45,0,2.17,0,0,0,5.25,0.51,21.58,0,0,0,6.26,0,0,0
120,0,0,15.1,7.04,7.33,2.81,0,0,0,4.94,2.59,0,32.71,0,0,1.41,0,0,0,0
