stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature
  3-4,0,82.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,81.59,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0
  7-9,6.74,0,3.3,0,0,3.85,0,0,3.35,0,0,0,0,0,52.21,0,25.38,0,0,0,0,0
 10-12,0,0,6.84,0,0,5.22,0,0,0,0,0,0,0,0,69.09,0,29.76,0,9.77,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.35,0,0,15.4,0,0,0,0,0.82,1.02,0
 24-34,0,0,0,0,0.78,2.48,0,1.55,0,0,0.66,1.33,0,0,13.1,0,0,0,0,0,0,0
 36-46,0,0,0,0.83,0,3.24,0,1.66,0,0,0,0.58,0,0.91,23.36,0,0,0.58,0,0,4.26,8
 48-58,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0.4,12.72,0,0,0,0,0,1.05,0
 60-70,0,0,0,0,0,13.35,0,0,0,0,0,9.63,0,0,8.33,1.22,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.05,0,0,0,0,0,3.57,0,0,3.38,0,0,0,0,0,1.46,0
 84-94,0,0,0,0,0,0.55,0,0,0,0,0,1.92,1.44,0,3.39,0,0,0,0,0,1.44,0
 96-106,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0.82,1.61,0,2.18,0,0,0.87,0
120,0,0,0,0,0,0,0,0,0,2.37,0,1.08,0,0,11.59,0,0,0,0,0,0,0
