stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature
  3-4,24.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,27.57,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.83,0,0,0,0.91,0
 24-34,0,0,0,0,2.49,0,0,0,0,0,0,9.39,0,0,2.55,5.21,0
 36-46,0,0,0,0,2.31,0,0,0,0,0.95,0.85,14,0,0,0,1.1,0
 48-58,0,0,0,0,3.08,0,0,0,0,0.68,0,38.8,0.65,0,0,3.31,0
 60-70,0,0,0,0,5.56,0,0,0,3.07,4.87,0,43.89,0,0,0,1.16,2.1
 72-82,0,0,0,0,18.29,0,1.84,0.64,0,0.5,0,31.19,0,0,0.62,5.06,0
 84-94,0,0.91,0,0,4.7,0,3.13,0,0,0,0,17.04,0,3.24,1.44,0,0
 96-106,0,0.97,1.55,0,0,0.76,0,0,1.05,0,0,20.37,2,0,0,0,0
108-118,0,0,0,0.43,9.76,0,2.55,0,3.65,0,0,7.71,0,0,0,0,0
120,0,3.49,0,0,18.01,0,0,0,0,7.76,0,17.63,0,0,0,0,0
