stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0.83,38.87,0,0,0,0.94,0,0,0,0,0,25.14,0,0,0,0,0
 24-34,0,0,2.02,0,0,4.25,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0.66,0,0,0.9,816.98,0,0,1.52,0,0,0,0,0,0.74,106.42,0,0,0,0,0
 36-46,0,0,7.4,0,0,5.4,0,0,0,4.24,0,0,0,0,0,0,0,0,0,1.4,0,0,0.65,2298.45,1.44,3.69,0,0,0,2.18,0,0,0,149.36,0,0,0,0,0
 48-58,0,0,15.98,0,0,107.84,0.78,0,0.97,36.43,0,0,0.41,8.52,2.63,0,0,0,1.09,17.49,0,0,3.61,3315.41,0,4.27,0,3.66,0,4.34,0,0.41,0,238.66,0,0,1.71,0,5.13
 60-70,0.81,0,4.93,0,0,170.7,0,6.2,8.38,30.07,3.6,0,0,13.95,0,0,0,0,9.95,29.53,0,0,6.92,4678.49,5.55,0,0,0,0,2.34,0,1.01,0,351.91,0,0,0,0,21.03
 72-82,0,0.64,22.58,9.48,0,220.63,0,6.49,0,43.77,0.64,0,0,1.81,0,0,2.88,1.65,0,27.95,0,1.3,1.95,5782.29,0,0,0,0,0,0.58,3.73,0,0,372.26,0,1.63,3.89,0.56,8.59
 84-94,0,1.05,6.46,5.89,0,190.13,0,1.82,1.18,56.17,0.92,0,0,4.62,0,1.34,2.76,1.41,0,48.96,0,0.6,5.33,3755.98,0,0,16.19,0,0,8.74,0,0,0,243.94,0,2.98,5.49,0,0
 96-106,0,0,14.6,13.47,0,166.76,2.05,0,1.28,69.42,1.8,0,0,1.53,1.51,0.77,0,6.09,0,43.06,0,0,1.67,3450.33,0,0,1.15,0,2.17,8.59,0,0,0,140.33,0,0,7.46,2.52,17.05
108-118,0,0.41,18.83,0,0,142.04,0,2.46,4.18,49.95,0.58,0,0,2.04,1.55,0,0,1.67,0,25.91,0,3.2,1.86,3533.75,1.34,0,0.58,0,0,15.13,0,1.39,0,169.12,0.55,0,1.42,1.03,2.03
120,0,0,35.54,0,1.09,273.35,0,1.33,3.73,94.49,8.98,0,0,22.14,0,0,2.85,15.63,0,58.13,2.91,12.66,3,9272.14,0,0,6.31,0,0,3.04,2.43,0,0,229.03,0,6.5,24.24,0,29.98
