stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.23,2.68,7.71,0.97,0,1.98,0,0.88,0,0,2.35,1.74,0,0,1.94,0,0,0,0,2.39,0,0,1.87,24.1,3.27,5.15,0.88,0,149.97,3.07,0.89,0,0.87,19.01,0,0,0,0,0
 24-34,3.31,0.68,15.79,0.84,0,3.72,0,13.58,0,0.61,1.46,0,8.06,0.9,13.96,0,8.75,0,0,19.29,3.61,0,4.24,205.74,1.23,52.55,5.55,0,691.39,0,7.94,0,0,57.13,0,0,30.55,0,2.68
 36-46,0,0.84,39.68,0.76,0,8.16,0,7.51,0.82,4.76,0,0,2.87,5.17,20.81,0,3.76,0,0,7.57,14,0,2.06,265.21,12.78,46.75,2.09,0,1192.16,0,13.53,0,0,68.27,0,0,12.38,0,0.61
 48-58,0,0,13.89,1.19,0,69.17,0,23.92,0,17.12,0,2.63,0,0,10.99,7.88,2.38,0,3.13,31.82,24.62,2.51,1.7,315.52,0.56,39.17,7.67,0,780.54,0,2.08,0,0,84.38,0,0,21.99,0,5.32
 60-70,0,0,27.25,0,0,107.23,0,22.72,0.86,28.16,0.68,5.9,0.76,2.42,6.49,3.59,2.03,1.06,9.62,45.77,2.37,8.02,6.34,218.96,0,18.33,6.31,0,678.71,0,5.86,0,0,96.73,0,0,5.51,0,11.74
 72-82,1.89,0,22.47,35.2,0,224.97,0,10.55,13.55,29.64,2.81,1.02,0,5.5,5.5,0.57,1,1.36,2.19,69.54,7.08,0,3.22,279.17,0,53.25,12.74,0,261.83,0,1.67,0,0,40.93,5.75,1.03,24.15,2.14,7.1
 84-94,1.14,0,49.7,23.3,0,141.36,5.38,15.82,0.74,30.75,7.83,4.86,3.52,1.13,5.87,2.09,0.66,2.86,0,47.64,12.15,4.62,0,195.39,6.31,21.65,5.64,0,534.61,0,9.32,0,0,28.24,4.44,0,31.44,0,3.52
 96-106,1.81,0,83.76,38.39,0,195.64,0.57,9.11,0,25.24,7.21,0,3.81,11.49,20.19,2.81,4.83,4.47,3.42,51.17,14.25,0.58,6.79,224.58,0.66,78.98,13.36,0,538.78,0,2.27,0,0,6.18,10.63,0,37.51,3.34,4.73
108-118,2.13,0.49,70.27,18.13,3.38,190.27,0.84,11.39,3.92,45.59,19.12,0,0,3.23,18.1,5.99,9.79,0.68,1.11,91.09,10.18,0,2.8,314.81,2.3,42.42,4.31,0.76,290.78,0,4.36,0.66,0,23.04,9.92,1.1,19.35,2.67,2.92
120,4.41,0,139.72,38.56,0,149.75,1.66,12.46,0,60.1,20.82,0,4.91,10.18,15.78,3.24,14.5,4.83,10.76,44.04,8.9,9.79,9.75,537.34,0,49.41,11.53,0,276.78,0,12.9,1.21,0,18.86,18.25,1.52,32.21,0,0
