stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,xanthophores
  3-4,16.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0
 10-12,0,8.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72,5.45,0,0,5.1,0,0,0,0,0
 14-21,0,7.34,0,0,0,0,0,7.26,0,0,0,0,0,0,0,0,3.9,0,5.27,0,0,0,5.78,0,0,0
 24-34,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.87,0,0.94,0,0,1.9,18.83,0,0,0
 36-46,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,1.68,0,234.02,0,10.07,0,0,0,69.81,0,0,0
 48-58,0,0,1.91,42.77,0,0,0,0,0.93,0,0,0.37,0,0.5,0,0,286.05,0,0,0,0,1.42,48.94,0,0,0
 60-70,0,0,0,63.52,0.95,4.58,5.92,0,0,0,0,0,3.72,0,0,0,445.18,0,0.96,0,0,5.04,73.69,0,0,9.69
 72-82,0,0,0,61.53,0,0,9.91,0,0,0.58,0,0,0,0,2.49,0,340.33,0,3.3,0,0,0,26.25,0,0,0
 84-94,0,0,0.64,31.05,0,0,1.66,0,0,0,0.65,0,5.42,0,1.79,0,236.45,0,0,5.24,0,4.18,14.7,0,0.59,0
 96-106,0,0,0,30.63,1,0,4.71,0,0,0,0,0,0,0,1.85,0,130.01,0,1.36,0,0,0,16.3,0,1.41,0
108-118,0,0,0,15.31,0,0,9.7,0,0,0,0,0,0,0,3.42,0,158.95,0,1.39,0.44,0,0,0.72,0.5,0,0
120,0,0,2.79,48.51,1.16,0,4.85,0,0,0,0,0,0,0,2.31,2.2,259.9,0,1.54,0,0,0,0,0,0,0
