stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  5-6,16.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,9.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.61,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4.8,5.02,0,1,0,0,0,0,0,4.35,0,0,1.76,0,14.28,0,1.03,12.06,0,0,0,0,1.49,0,0,3,0,0,0
 24-34,0,2.8,3.18,0,1.82,0,0,0,0.82,0,1.94,0,0,0.99,0,28.2,0,10.77,8.79,34.75,0,0,0,0,0,0.63,5.51,0,0,10.69
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,0,2.61,3.07,43.07,0,0,0,0,2.46,0,4.23,0,0,13.74
 48-58,0,0,0,0.42,1.91,0,0,1.42,0,0,0,0,0,0,4.15,12.33,0,0,10.25,25.5,0,0,0,0,15.31,0,2.98,0,0,53.21
 60-70,0,0,0,0,11.42,0,1.28,1.07,0,0,0,0,0,0.78,0.86,6.1,0,0,79.68,16.57,0,0,0,0,1.76,0,0,0,0,38.66
 72-82,0,0,1.73,0,7.2,0,0.58,0,0,0,0,0,0,2.71,9.99,12.17,0,0,193.94,2.93,0,0,0,0,3.81,0,3.04,0,0.73,36.88
 84-94,0,0,0,0,8.02,0,2.16,0.64,0.58,0,0,0,1.39,5.08,0.83,9.4,2.16,0,182.16,10.77,0,0,0,0,6.45,0,0,0,0,13.19
 96-106,0,0,2.77,0,14.57,1.64,0,4.09,0,0,0,1.99,0,3.86,10.02,13.36,0,0,261.42,6.28,3.29,0,0,0,7.86,0,0,1.13,0,3.81
108-118,0,0,2.44,0.55,31.95,0,0,6.5,0,0,0,0,6.22,4.05,8.64,17.25,0,0,226.52,9.66,0.97,1.55,0,0,4.86,0,0,0,0,8.9
120,0,0,0,0,26.79,0,0,0,0,0,0,0,0,3.15,4.53,6.6,0,0,245.01,3.73,0,0,0,0,1.04,0,2.02,0,0,0
