stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,272.99,6981.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.16,0,0,0,0,0,0,0,0,0,0,0
  5-6,419.15,5735.04,0,0,0,0,0,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,0,0,131.12,0,0,0,10.37,259.68,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.11,5.67,0,23.39,0,0,0,24.99,0,0,0,0,0,29.49,0,0,0,0,0,0,0,0,0,561.82,12.27,0,0,132.77,44.27,19.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.2,0,0,0,11.04,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,286.97,11.99,0,0,0,33.53,0,0,4.78,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.21,141.83,2.75,0,0,0,7.37,0,0,3.71,0.86,0,0,11.45,0,1.55,0,1.34,0.9,0.82,27.56,0,2.15,4.52,5.03,142.47,0,0.91,1.56,0.87,1.71,4.76,0,0,0.81,0,0
 24-34,0,0,0,7.37,107.55,0.69,0,4.68,0,21.2,0,0,3.31,0,0,0,20.8,0,12.46,0.84,8.75,4.37,2.4,107.14,0.63,17.8,10.96,0,339.39,0,0,7.64,0,0.94,7.08,0,0,2.48,0,0
 36-46,0,0,0,0.84,84.89,0,0,2.06,0,22.65,0.75,0,4.22,7.47,0,0,9.9,0.65,9.86,0,2.54,1.93,0.93,124.73,1.37,11.49,10.16,0,413.85,0,0,6.05,0,0,3.39,0,0,0,0,0
 48-58,0,0,0,0,80.58,0,0,10.01,0,37.99,0,0.84,2.66,11.68,0,0,3.48,0,13.25,0,5.44,9.56,0.57,147.14,0,5.03,23.06,0,386.02,0,0,3.55,0,0,12.08,0,0,0,0,6.3
 60-70,0,0,0.7,0.85,108.22,0,0,16.38,0,38.24,0,2.8,12.43,6.69,0,0,6.9,0,23.67,3.45,11.2,9.78,1.71,73.48,0,14.82,21.8,0,365.66,0,0,8.1,0,0,8.49,0.61,0,0,0,0
 72-82,0,0,3.67,0,100.57,5.75,0,32.94,0,23.77,0.56,7.63,19.07,3.52,0,0,10.82,0,47.1,3.08,24.27,17.3,3.06,130.71,0,11.46,48.56,0,288.54,0,0,12.09,0,0,3.36,9.53,0,1.5,0,5.55
 84-94,0.62,0,0.66,0,221.34,1.05,2.44,34.04,0,57.68,1.63,0.56,45.54,10.2,0,0,46.16,0,44.67,3.18,14.1,31.76,0,116.22,0,28.52,44.11,0,747.48,0,0,7.57,0,0,5.81,52.79,0,0,0,0
 96-106,0,0,9.86,1.61,280.79,8.41,0,41.77,2.9,77.84,5.7,8.91,67.85,1.06,0,0,31.71,0,93.78,18.97,31.77,31.19,3.55,74.6,0,51.74,54.97,0,619.45,0,0,4.68,0.63,0,4.32,59.19,1.94,8.73,1.28,8.12
108-118,0,0,9.97,3.28,351.97,2.45,10.04,8.68,0,117.17,3.24,8.55,87.18,0,1.02,8.97,63.29,2.45,68.94,12.76,36.05,31.46,2.69,116.84,0,32.46,80.11,0,629.64,0,0,9.17,0,0,1.33,77.89,0,2.3,0.72,7.57
120,0,0,0,0,285.85,0,0,8.8,0,78.3,0,1.91,82.35,0,0,2.57,31.69,0,39.92,19.96,16.98,13.64,0,89.91,0,34.41,62.41,0,462.06,4.03,0,8.12,0,0,0,46.47,0,2.71,2.01,0
