stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,27.2,640.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0
  5-6,112.68,1056.31,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.67,0,0,0,32.92,0,0,0,0,0,0
  7-9,23.93,4.1,13.53,0,0,69.56,0,0,0,0,27.43,0,0,0,0,0,0,706.71,27.77,0,0,277.25,0,0,0,0,0,0,0
 10-12,0,13.39,25.34,0,0,27.1,0,0,0,0,12.53,0,0,0,0,0,0,406.32,4.99,0,0,121.61,0,0,4.44,0,5.74,0,0
 14-21,0,0,0,0.83,0.99,0,0,0,0,0,0,0,0,0,5,0,1.91,4.1,0,0,0,0.82,0,0.89,0,0,0,0,0
 24-34,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0.67,5.04,0.63,13.52,0,0,0.76,0,0,0,0,0,0,6.01,1.01
 36-46,0,0,0,7.71,0,1.14,0,0.84,0,0,0,0,3.61,1.19,0,0,0,4.8,0,0,4.34,0,0,0,0,0,0,1.6,0
 48-58,0,0,0,0,0,2.34,0,0,0,0,0,4.54,0,0,0,0.42,0,7.87,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.6,0,11.3,0,0,0,0,0,0,0,0,0,0.97,0,12.19,0,0,0,0,5.26,0,0,0,0,4.11,0
 72-82,0,0,0,2.13,0,15.97,0.73,0,0,0,0,0,0,0,1.54,2.33,0,8.48,0,0.5,0.79,0,6.04,0,0.73,0,0,1.92,1.49
 84-94,0,0,0,0.62,0,0.7,0,0,1.49,0,0,0,0,0,0,1.27,0,6.13,0,0,0,0,2.87,0,0,1.3,0,0,0
 96-106,0,0,0,0,0,0.6,0,0,0,1.15,0,0,0,0,0,0,0,11.58,0,0,0,0,7.32,0,0,0,0,0,0
108-118,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,13.37,0,0,0.44,0,0.69,0,0,0,0,0,0
120,0,0,0,0,0,2.62,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,3.46,0,1.01,0,0,0,0,0,0
