stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,21.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.97,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,0,0,10.16,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,13.72,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62,0,0,0,0,1.54,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,4.14,0,0,0,0,0,0,0,0,53.46,0,1.62,1.59,0.85,14.83,0,0,0,0,3.34,0,0,0
 84-94,0,0,0,0,6.61,0,0,1.14,0,0,0,0,0,292.33,0,0.99,0,0,6.21,0,0,1.36,0,0,0,0,0
 96-106,0,2.41,0,8.32,33.7,0.93,0,0,0.83,0,0.81,0,0.79,999.38,0,12.12,0,0.74,119.39,7.85,0,4.56,0,2.81,1.2,6.49,3.77
108-118,0,4.28,2.9,6.31,37.68,0,1.34,11.34,0.73,0.89,1.22,0,1.16,2131,2.61,19.98,0,1.13,135.08,0.55,1.03,1.38,0.44,7.23,0,0,0
120,0,2.62,1.79,1.26,19.31,0,2.63,0,5.71,2.09,1.38,5.09,0,1329.62,0,26.89,0,0,103.08,0,0,7.23,0,0,0,5.29,0
