stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.17,0,0,0,37.2,0,0,3.69,0,0,0,0,0,0,0
 14-21,0,4.91,17.81,0,0,0,927.28,2.17,0,0,0,0,0,0,0,4.87,0,0,2.54,637.49,14.48,0,0,21.39,0,6.75,0,0,47.27,4064.38,0,0,1.09,0
 24-34,0,3.74,4.43,31.17,0.7,32.44,1244.71,1.51,0,0,1.7,0,0,0,1.89,6.48,0,0,5.17,2300.86,21.18,0.94,1.11,0,2.38,0,0.92,2.35,95.01,5544.62,0,0,5.56,0
 36-46,0,13.95,0,12.13,0,18.08,658.45,0,0,0,1.03,0,0,0,1.72,3.72,0,2.49,5.99,1639.58,1.12,0.73,0,0,0.74,0,0,0,0,4092.18,0,0,0,0
 48-58,0,11.31,0,39.9,0,2.2,1063.58,0,0.55,0,0,4.8,0,0,0,17.17,0.7,0,0.97,1324.85,0,0,0,0,2.39,0,0,0,0,2883.28,0,0,2.62,0
 60-70,0,0.67,0,64.47,2.71,0,1309.53,0,0,12.38,0,0,0,0,0,8.59,0,0,0,555.81,0,0,0,0,2.65,0,0,0,0,1392.38,0,1.9,0,5.2
 72-82,0,0,0,59.52,0.78,1.44,1243.07,0,0,0,0,0,0.64,3.49,0,14.71,0,0,1.11,607.06,0,0,0,0,1.92,0,0,0,0,1029.77,0,0.75,0.5,9.28
 84-94,0,2.97,0,64.81,0.66,0,1106.73,1.39,0,0,0,0,22.88,0,0,5.08,0,0,0,569.19,0,0,0,0,0,0,0,0,0,1258.26,3.4,0,0,0
 96-106,0,12.98,0.95,57.59,2.73,0,968.59,0,0,0,0,0,0,0,5.48,13.41,1.64,0,0,406.21,0,0,0,0,0,0,0.7,0,0,1326.31,0,1.22,4.52,0
108-118,0,9.52,0,22.72,0,0,899.99,0,0,0,0,0,0,0,0,7.57,0,0,10.08,462.29,0,0.7,0,0,3.94,0,0,0,0,796.08,2.17,0,0,0
120,0,29.77,0,93.99,1.51,0,961.36,0,0,0,0,0,0,0,0,0,0,0,0,392.99,0,0,0,0,0,0,0,0,0,862.97,0,0,0,0
