stage,blastomeres,epidermis,erythrocytes,eye,immune,mesenchyme,neural,olfactory,periderm,spinal_cord,vasculature
  5-6,9.21,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.52,0,1,0,0,0,0
 24-34,0,0,0,0,12.34,0,0,0,3.55,0,0
 36-46,0,0,0,0,18.9,0,0,0,0,0,0
 48-58,0,0,0,0,60.18,0,0.92,0.57,0,0,0
 60-70,0,0,4.71,0,37.59,0,0,0,0,1.33,0
 72-82,0,0,9.55,5.54,47.28,0,2.04,0,0,0,0
 84-94,0,0,0,0,59.84,0,0,0,0,0,0
 96-106,0,0.7,0,0,113.16,0,10.37,1.05,0,0,0.56
108-118,0,0,0,0,56.2,0.61,1.14,0,0,0,1.75
120,0,0,0,6.35,77.73,1.28,1.35,0,0,0,0
