stage,exocrine.pancreas,gut,liver,neural,pronephros,spinal.cord
 48-58,0,0,0,0.6,0,0.61
 72-82,0,0.72,0,0,0,0
 84-94,0,0,0,0,0.8,0
 96-106,0.72,0,0,0,0,0
108-118,0,2.49,0.52,0,0,0
120,0,1.24,0,0,0,0
