stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,339.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.39,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.77,298.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.48,11.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.85,7.17,0,3.91,0,0,58.28,0,0,0,0,0,19.46,0,0,0,0,0,0,0,0,0,0,334.05,6.48,0,0,115.96,0,5.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.59,0,47.43,0,0,11.5,0,0,0,0,0,22.21,0,0,0,0,0,0,0,0,0,0,295.16,24.26,0,0,165.6,0,0,12.11,3.57,3.49,0,0,0,0,0,0,0,0
 14-21,0,0,2.15,0,22.29,6.83,1.71,0,0,0,2.89,3,0,0,0,0,0,0,0,0,14.83,0,4.67,190.77,5.35,0,2.01,3.92,0,2.38,0,17.21,1,0,27.38,71.04,0,0,3.9,0,0
 24-34,0,0,0.71,0,5.08,0,17.29,0,1.35,0,7.31,0,0,0.89,0,2.89,0,0,0,0.7,23.14,0,8.45,755.35,14.54,19.65,2.53,0,0,18.91,0,0,0.69,0,3.43,195.81,0,0,17.6,0,0.93
 36-46,0,0,1.35,0,14.8,0,29.97,2.75,0,1.37,32.64,0,0,0,0,0,0,0,0,0,28.29,1.8,5.76,1504.89,5.61,23.5,2.5,0,0,11.54,0.81,0,0.56,0,1.18,240.97,0,0,15.62,0,1.2
 48-58,0,0,1.47,0,21.56,0,139.81,0.85,1.84,2.01,45.72,0.91,0,0.53,0,0.39,0,0.94,0,3.03,49.8,0,4.11,1764.74,24.65,9.84,1.41,0,0,39.03,0,3.76,1.12,2.55,0,266.55,0,0.64,3.83,0,2.58
 60-70,0,0,0.86,0,8.9,0,262.59,0.84,0,1.32,69.03,0,0,0,0,0,0,2.54,0,0,92.67,0,4.78,1527.89,4.61,7.34,1.26,0,0,18.21,0,0,6.1,0,0,202.68,0,0,7.08,0,0
 72-82,0,0,2.05,0,10.94,0.82,358.85,1.78,2.6,0,80.24,2.01,0,0.9,0,1.02,0,0,0,0,64.59,2.51,7.2,1454.04,9.63,10.4,4.77,0,1.06,14.95,0,0,0,0,0,92.97,0,0,8.12,2.77,0
 84-94,0,0,1.11,0,13.72,0.59,273.6,0,1.43,1.25,55.75,1.12,0,1.02,0.65,0,0.55,3.35,0,1.98,69.84,11.43,4.49,862.76,11.2,10.63,9.35,0,0,34.19,0,0,0,0.78,0,68.27,0.56,1.84,19.97,6.3,0
 96-106,0,0,0,0,12.75,7.89,165.06,1.55,0,0,56.48,6.2,0,0.73,0,0,0,0,0.7,0,46.12,1.63,0.71,694.75,2.04,16.78,0,0,2.69,5.65,0,0,0,0,0,53.19,3.28,8,5.82,0,0
108-118,0,0,0,0,14.53,0,216.72,0.42,0.59,3.19,69.07,0.92,0,1.02,0,0.51,0,0,0,2.15,72.56,8.82,0.52,648.71,11.61,4.09,2.98,0,2.52,12.14,0,0,2.25,0,0,45.73,0.89,0,13.43,0,0
120,0,0,0,0,17.83,0,342.18,0,3.68,0,144.25,1.94,0,0,0,0,6.33,0,0,0,39.15,0,4.57,1265.99,8.73,12.85,3.94,0,2.76,9.31,0,0,3.02,0,0,63.56,0,0,31.57,0,0
