stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.22,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.72,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,5.69,0,0,0,0,32.82,3.02,0,1.15,0,0,0.95,0,0
 24-34,0,0,2.06,0.6,0,2.01,0,0,1.94,0,0,0,0,0,0,0,0,17.66,0,0,8.95,30.41,0.67,2.81,1.6,0,119.97,18.83,0.65,1.77,0,0,0,0,0
 36-46,0,0,1.85,0,0,1.85,1.98,0.88,8.07,0,0,0,0,0,0.72,0,1.7,37.76,0,3.43,5.45,68.2,0,2.59,1.69,0,131.71,2.64,0,3.96,0,2.73,0,0,0
 48-58,0,0.68,2.19,0,0,9.83,1.78,0,19.18,0,1.3,0,0,0.89,0,0,0,65.23,0.63,15.91,9.99,42.77,0,0,0,0.39,78,7.65,0,7.58,0,2.18,1.29,0,1.76
 60-70,0,0,0.69,0,0,33.96,0.65,0,57.99,0,0,0,0,22.36,0.63,0,0.75,99.79,0,43.95,5.88,40.96,0,2.03,0.65,5.95,98.93,8.1,0,1.57,1.69,9.61,5,17.45,5.43
 72-82,0,1.84,7.67,3.22,0,38.07,0.56,2.01,65.27,0,5.41,0,0,28.17,0,0.79,0,161.74,0,73.48,2.79,45.46,1.67,0,0,6.78,40.45,4.24,0,8.11,3.65,17.46,15.81,50.2,6.61
 84-94,0,0,6.38,0.61,0,25.46,7.05,3.19,40.33,0,1.79,0,0,4.25,0,0,0.68,121.97,0.86,43.41,6.61,41.24,0,5.64,0,13.42,161.11,6.99,0.63,0,2.87,8.87,3.67,50.62,0
 96-106,0,0,21.67,0,0,45.93,6.57,0,42.73,0,4.26,0.69,0,2.39,1.3,8.31,0.75,157.35,0.81,50.23,7.32,50.56,0,3.08,0,38.9,129.16,10.92,0,1.89,12.33,22.37,8.53,98.17,0
108-118,0,0.55,15.94,0,0.5,25.01,4.07,6.28,65.22,0.88,1.99,0.56,0,8.53,0.43,3.36,0.75,187.45,0,61.35,11.22,42.91,0,2.2,1.56,58.4,94.58,13.48,0,2.77,12.97,12.84,9.38,47.48,8.82
120,0,0,38.41,0,0,14.78,7.12,1.82,71.21,0,0,0,1.76,2.63,0,19.61,0,144.37,3.25,39.67,22.07,21.45,0,0,0,48.43,46.78,2.77,0,0,2.99,35.9,0,66.07,0
