stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,433.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0
  5-6,6.88,285.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.01,0,0,0,0,0,0,56.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.91,20.09,0,0,66.23,0,0,0,0,0,0,0,0,0,0
 10-12,0,26.68,0,23.47,0,0,0,38.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.18,4.23,0,0,29.09,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.1,5.8,0,4.84,0,0,0,3.82,0,1.5,0,0,0,0,0,0,5.56,0,3.51,110.31,0,0,1.32,0.82,0,0.93,1.9,2.01,26.9,0,0,0.98,0,0
 24-34,0,0,0,0.76,2.95,0,0,5.69,0,0.61,0,0.86,0,0,0,0,0,0.91,0,3.78,1.42,0,3.28,199.88,0,1.36,2.3,0,0,0,0,0.79,39.05,0,0,3.2,0,0
 36-46,0,0,0,0.56,0,0,0,5.23,0,0,0.57,4.28,0,0,0,0,0,0,0,0,8.47,0,1.77,416.14,0,4.18,0,0,0,0,0,0,79.88,0,0,0,0,0
 48-58,0,0,0,0,0.45,0,0,24.16,0,0,0,20.2,0,0,0,0,0,0,0,0,6.99,0,1.04,536.07,0,1.18,0,0,0,0,0,0,111.37,0,0,4.42,0,0
 60-70,0,0,0,0,0,0,0,93.68,0,0,0.6,22.4,0,0,4.05,0,0,0,0,0,16.11,0,0.93,812.43,1,1.03,3.27,0,0,0,0,0,174.06,0,0,0,0,2.5
 72-82,0,0,0.64,0,7.32,1.69,0,176.25,0,0,0.51,30.34,3.22,0,0,1.07,0,0,0,0,45.81,0,3.04,715.71,0,2.53,1.52,0,0.65,0,0,0,110.76,0,1.01,0,0,0
 84-94,0,0,0,0,8.84,0.87,0,160.85,0,0,0,42.7,0,0,0,0.73,2.83,0,0,0,26.55,0,2.28,483.63,0,3.19,1.78,0,0,0,0,0,86.76,0,4.55,2.66,1.13,2.78
 96-106,0,0,0.88,0,2.98,0,0,105.88,0,0,0,52.56,0,0,2.16,0.61,0,1.3,11.59,0,43.34,0.93,1.49,420.41,0.98,3.06,4.24,0,0,0,0,0,23.03,0,0,2.1,1.7,0
108-118,0,0,1.13,0,4.73,0,0.44,155.68,0.98,0,1.28,28.52,1.99,0,0,0,0,0,2.4,0,39.71,0.71,0,381.44,0,0.45,1.87,0,0,0,0,0,26.45,1.29,0,0,1.05,0
120,0,0,0,0,5.55,1.69,0,171.27,0,0,20.8,81.02,0,0,0,0,0,0,0,0,52.52,0,3.99,688.97,0,4.89,0,0,0,0,0,0,54.67,0,0,1.54,0,0
