stage,epidermis,eye,glial,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0.84,0,0,0,0,0,0,0
 24-34,0,0,0,0,2.73,0.71,0,0,0.75,0,0,0
 36-46,0.91,1.28,0,0,4.67,0,0,5.95,0,0,0,0
 48-58,0,3.54,2.53,0,0.63,0.5,2.75,0,0,0,0,0
 60-70,0,7.85,0,0.72,2.4,0,0,0,6.14,0,0,0.99
 72-82,0,8.06,2,0,0,0,0,0,0,2.47,0,0
 84-94,0,4.64,0,0,0,0,0,0,0,0,0.66,0
108-118,0,2.83,0,0,0,0,0,0,0,0,0,0
120,0,7.53,0,0,0,0,0,0,0,0,1.35,0
