stage,blastomeres,endoderm,epidermis,eye,glial,gut,liver,mesenchyme,mural_cell,neural,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,40.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,8.13,4.56,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,25.82,0,7.72,0,0,0
 14-21,0,0,5.65,0,0,0,0,1.18,0,0,0,13.1,8.1,0,0
 24-34,0,2.61,0,0,0.72,0,0.77,0,0,1.88,0,11.5,113.49,0.63,0.91
 36-46,0,0,4.96,0,0,0,0,0,0,2.95,0,2.06,77.41,0,0
 48-58,0,0,0.39,1.4,0,0.4,0,0,1.25,1.59,0,7.72,58.39,0,0
 60-70,0,0,0.57,3.97,0,0,0,0,0,0,0,0,70.59,0,0
 72-82,0,0,0,0,0,0,0,0,0,5.77,0,0,60.35,0,0
 84-94,0,0,0,0,0,0.65,0,0,0,14.12,0,0,111.67,0,0
 96-106,0,0,0,7.05,0,0,0,0.76,0,0,0,1.42,72.84,0,0
108-118,0,0,1.42,0.46,0,0,0,0,0,1.69,0,0,46.86,0,0
120,0,0,0,0,1.81,0,0,0,0,0,0,0,58,0,0
