stage,axial,blastomeres,erythrocytes,eye,immune,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,14.53,10.46,0,0,0,0,0,0,0,0,0
  5-6,0,67.55,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.78,0,9.2,0,0,0
 10-12,0,0,0,3.76,0,46.46,0,9.62,0,0,0
 14-21,0,0,0.99,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.35,0,0,0,0,0,0.86
 36-46,0,0,0,0,0,0,1.27,0,0,0,0
 48-58,0,0,0,0,6.5,0.49,0,0,0,0,0
 60-70,0,0,0,0,6.33,0,0,0,0,0,0
 72-82,0,0,0,0,5.42,0,0,0,0,2.2,0
 84-94,0,0,0,4.06,3.08,0,0,0,0,0,0
 96-106,0,0,0,0,6.33,0,0,0,0,0,0
108-118,0,0,0,0,13.38,2.54,0,0,0.42,0,0
120,0,0,0,0,15.66,0,0,0,0,0,0
