stage,blastomeres,epidermis,eye,ionocyte,liver,mesenchyme,neural,otic,paraxial.mesoderm,pronephros,spinal.cord,vasculature
  3-4,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.73,0,0,0,4.58,0,3.81,0,0,0
 10-12,0,0,3.47,0,0,0,5.62,0,3.77,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.01,0.82,0
 24-34,0,0,0,0,0,0,3.85,0,0,0,0,0
 36-46,0,0.57,0,0,0,0,2.24,0,0,0,0,0
 48-58,0,0,0,0,0,0.43,1.99,0,0,0,0.4,0
 60-70,0,0,1.82,0,0,0,0.64,0,0,0,0,0
 72-82,0,0.63,2.58,0,0,1.99,3.8,0,0,0,0,0
 84-94,0,0,0,0.69,2.4,0,1.61,0,0,0,2.69,0
 96-106,0,0,0,0,0,0,20.22,0.67,0,0,0.6,0
108-118,0,0,0,0,0,0,1.81,0,0,0,0,0
120,0,0,1.29,0,0,0,3.98,0,0,0,0,1.35
