stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,11.28,64.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.53,177.79,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.28,13.55,0,0,0,11.31,0,0,0,0,0,0,0,0,0,0,203.33,5.08,0,63.19,0,0,0,0,0
 10-12,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.79,5.33,0,9.22,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,14.44,0.94,0,0.87,0,0.93,2.28,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18,0,0,0,0,0,0,0.64,1.65
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0,0,0,0
 48-58,0,0,0,4.84,0,4.81,0.41,0.85,0,0,0,0,0,0.53,0,0.83,8.43,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,22.64,0,0,0,0,0,0,4.64,0
 72-82,0,0,0,0,0,7.45,0,0,1.19,0,0,0,0,0,0,2.09,8.96,0,0,0,0,0,0,0.56,1.54
 84-94,0,0,0.56,0,0,0.73,0,1.14,2.08,0,0.74,0,0,0,6.15,0,11.48,0,0,0,1.87,0,0,2.01,0
 96-106,0,0,0,0,0,0,0,0,18.11,0,0,0,0,0,0,0,23.25,0,0.59,0,0,0,0,0,8.69
108-118,0,0,1.54,0,3.57,0,0,0,40.9,0,0,0.61,0.61,0,0,0,9.3,0,0,0,1.25,0,0,0,1.98
120,0,0,0,2.31,0,6.99,0,10.4,88.3,0,0,1.07,0,0,0,0,22.19,0,0,0,0,0,0,0,0
