stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,lateral.line,mesenchyme,neural,notochord,otic,paraxial.mesoderm,pericytes,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,10.18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,6,0,0,7.92,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,40.49,0,0,30.59,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,14.77,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,65.74,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.27,1.18,40.28,4.1,0.63,0,0,0,1.65,0,2.99,0
 60-70,0,0,0,0,1.67,5.56,2.39,0,30.98,0,0,0,0,0.73,0,0,0,0
 72-82,0,0,0.69,0,0,0,0,1.76,28.19,0,0,0,0,0,0,0,0,6.29
 84-94,0,0,0,1.48,1.52,0,0,0,37.83,0,1.82,0,0,0,1.05,1.9,2.04,0
 96-106,0,0,0,0,8.63,5.33,0,13.39,21.56,0,1.84,0,0,0,0,0,0,0
108-118,0,0,0,0,2.46,3.96,0,3.09,13.62,0,0.9,0,0,0,1.92,0,0,0
120,0,0,0,0,6.97,20.95,0,32.59,177.11,0,0,0,38.1,0,0,0,0,0
