stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,mesenchyme,muscle,neural,pericytes,periderm,spinal.cord,vasculature,xanthophores
  3-4,71.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,15.22,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.88,0,0,0,0,0
 24-34,0,0,0,5.05,0,0,7.39,0,1.04,0,5.15,0,0,0.63,0,0
 36-46,0,0,1.47,7.3,0,0,0,0,0,0.65,6.17,0,0,3.48,0,0
 48-58,0,0,1.21,55.08,0.51,0,1.05,0,0,5.81,11.26,0,0,0,7.18,0
 60-70,0,0,0,239.52,0,0,2.12,0,4.18,0,11.43,0,3.08,0,2.37,0
 72-82,0,0,0,234.33,0,0,3.21,0,5.24,0,6.68,1.4,0,0,0,0
 84-94,0,0,0,233.95,0,0,0,0,1.13,0.57,0,0,9.27,4.87,0,0
 96-106,0,0,1.33,199.42,0,0.71,5.58,0,2.08,0,4.12,0,0,0,0,0
108-118,0,0.74,0,161.86,0,0,2.4,0,1.29,0,8.68,0,0,0,0,1.28
120,0,0,0,207.59,0,0,1.61,1.09,0,0,5.9,0,0,3.29,0,0
