stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,34.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0
  5-6,8.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,14.28,0,0,0,16.94,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.98,0,0,0,11.14,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,0.89,0,0.84,1.28,0,1.05,0,0.84,2.06,3.81,0,0,0
 24-34,0,1.12,0,0,0,0.85,0,0,0,0,0,0,0.77,0,0.7,0,0,0,28.67,0,0,0.79,0,0,0,0,1.29,0,0,0,5.22,2.64
 36-46,0,0,0,0,0,1.98,0.58,0,0,0,0,0,0,0,0.68,0,0,0,6.06,0,0,0,0,0,0,0,12.99,0,0.87,0,0,0
 48-58,0,0,0,0,0,2.44,1.06,0,0,0,0,0,0,0,2.02,0,0.51,2.41,9.43,0,0.56,0.48,0,0,0,0,10.21,0,0,0,2.32,2.47
 60-70,0,0,0,0,0,1.56,0.86,1.82,0,2.35,0,0,0,0,10.44,0,0,1.46,9.77,0,0,1.33,0,0,0,0,4.02,0,1.13,0,0,0
 72-82,0,0,4.01,0,1.04,3.74,4.92,0,0,17.98,0,0,0,0,9.26,0,0,0,4.26,0,0,8.85,0,0,0,0,2.6,0,0,0,0,0
 84-94,0,0,1.33,0,0,0.56,2.3,0,0,19.2,0.6,0,0,0,0,0,0,0,11.68,0,0,4.98,0,0,0,0.56,4.04,0,8.21,0,5.78,0
 96-106,0,0,3.84,0.66,0,13.69,3.17,1.61,0,42.2,0,0,0,0.62,3.16,1.61,0,0,12.2,0,3.24,2.91,0,1.68,0,0,11.33,0,0,1.21,1.26,0
108-118,0,0,0,0,0,0.78,1.85,0.45,0,40.35,0.49,0.65,0,0,5.38,0,0,0.5,8.23,0,1.89,7.35,0,0.5,0,0,11.38,0,0,0,0.73,0.59
120,0,0,0,0,0,0,8.05,0,0,72.72,0,0,0,0,1.45,0,0,0,38.34,0,0,2.2,0,0,0,0,1.21,0,0,0,0,0
