stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.82,0,0,0,4.58,0,0,0,0,0,0,0
 14-21,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,10.06,0,4.93,15.42,0,1,0,0,0,0,0,3.23,0,0,0
 24-34,0,116.2,0,0,0,0,0,2.15,0,0,0,0,0,0,46.49,0,12.23,111.41,0,0.63,3.43,0,0,0.79,0,69.43,1.13,0,0
 36-46,0,11.46,0,0,3.58,0,0,0.88,0,0,0,0,0,0,14.17,0.77,0,257.82,0,0,0,0,0,0.58,0,107.64,3.83,0,0
 48-58,0,47.23,0,0,11.24,0,0,7.96,0,0,0,0,0.53,0,11.26,0,4.21,317.1,0,1.71,0,0,0,0,0,51.33,2.69,0,0
 60-70,0,4.14,0,0,5.76,0,0.93,12.98,0,0,0,0,0.63,0,15.6,0,0.78,380.97,1.1,0,0,0,1.65,0,0,18.21,0,0,7.48
 72-82,0,1.26,0,0,14.37,0,0,4.59,0,1.15,0.72,12.25,0,0,15.08,0,3.27,373.32,0,0,1.23,0,0,0.55,0,3.56,0,1.22,0
 84-94,0,0.81,0,0,14.36,0,0.92,15.71,0,2.1,0,1.38,0,0,22.15,0,2.34,273.35,0,0.61,0,0,0,0,2.08,2.91,0,0.89,0
 96-106,0,0,7.38,0,18.64,0,0,24,0.57,0.99,0,6.78,0,0.59,33.23,0,2.67,649.23,0,0.6,0,0,0,0,0,15.43,0.65,0,0.69
108-118,0,6.56,2.36,1.77,9.68,0.45,3.03,3.47,0,0,0,2.52,0,1.63,18.43,0,2.75,536.26,0.46,0,0,0,0,1.29,0.42,7.31,0,0.63,1.94
120,0,0,0,0,16.41,0,0,54.7,0,0,0,0,0,0,7.02,0,7.16,497.19,0,0,0,0,0,0,0,9.04,0,0,0
