stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,74.29,1133.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0
  5-6,24.08,653.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.06,7.03,0,0,0,0,8.08,0,0,0,0,0,0,0,0,0,0
  7-9,6.63,9.16,0,3.67,0,0,47.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.51,0,0,0,27.68,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.98,0,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.85,7.02,0,0,12.6,0,0,4.37,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.48,108.81,134.41,0,0,0,0,0,0,4.04,904.23,3.12,5.02,0,0,0,0,1059.27,0,102.85,140.79,0,0,0,63.75,0,1.59,0,73.72,0,0,2.95,0.98,0,0,1.82,0
 24-34,0,0,0,0,37.07,21.58,1.46,0,0,0,0,0.77,0,685.81,70.67,0,11.61,0,12.28,0,211.4,0,65.16,22.65,0,0,0,0,0,2.99,0,0,1.87,0,0,8.87,0,0,0,0
 36-46,0,0,0,0,3.63,0.77,0,0,2.87,0,0,0,0,722.76,0,0,0,0,0,6.93,86.96,0.98,13.27,44.86,0,0,0.8,32.82,0,0,0.81,34.44,0,0,0,2.14,0,6.77,0.82,0
 48-58,0,0,0,0,5.57,0,3.77,0,0.47,0,0,0,0,394.58,0,0,0,0,0,0,24.02,7.79,0.65,28.01,0,0,0,0,0,2.01,0,0,0,1.81,0,4.47,0,41.28,1.31,0
 60-70,0,0,0,0,6.76,0,4.96,10.77,0,1.38,0.62,0,0,351.7,0,0,0,1.54,0,0,7.28,0,2.64,72.9,0,0,0,0,0,0.58,0,0,0,0,0,3.54,0,28.88,1.95,0
 72-82,0,0,0,0,5.46,0,22.06,53.21,0,0,2.56,3.29,0,272.7,0,2.1,0,2.61,0,0,5.71,6.82,8.7,48.67,0,0,1.42,0,0,0,0,0,0,0,0,0,2.62,53.18,2.46,0
 84-94,0,0,1.46,0,44.06,0,9.12,27.89,0,0,18.22,2.75,0,369.03,0,0,0,7.82,0,0,17.24,15.11,5.36,3.59,0,0,0,0,0,0.82,0,0,0,0,0,0,0,72.3,1.33,0
 96-106,0,0,0,0,70.68,6.89,5.81,70.06,4.14,0,0,8.2,0,494.93,0,2.38,0,5.96,4.34,0,14.26,0,0.71,24.61,0,0,0.91,0,0,6.32,0,0,0,0,0,0,0,43.31,5.7,4.51
108-118,0,0,0,0,67.78,0,31.66,117.93,6.51,0,0,2.34,0,452.51,2.04,4.58,0,16.85,2.61,0,9.19,0,0,53.8,0,14.55,0,0,0,8.35,0,0,0,0,0,0,0,41.63,0.85,9.38
120,0,0,0,0,112.34,5.14,14.81,62.03,0,0,0,6.48,0,255.44,0,5.02,0,25.07,5.58,0,3.44,0,0,178.33,0,0,0,0,2.54,19.67,0,0,1.83,0,0,0,0,42.55,0,0
