stage,epidermis,eye,immune,iridophores,mesenchyme,mucous,neural,olfactory,pronephros,spinal_cord,vasculature
 24-34,0,0,0,0,0.71,0,3.06,0,0,0.78,0
 36-46,0,0,0,0,0.86,0,10.65,0,0.67,0,0
 48-58,0,0,0,0,0,0,0.95,0,0,0,0
 60-70,0,3,3.06,0,0,1.53,0,0,0,0,0
 72-82,0,0,0,0.59,0.86,0,0.78,0.58,0,0,0
 84-94,0,5.17,0,0,0,0,0,0,0,0,3.55
 96-106,0,0,0.81,0,0,0,0,0,0,0,0
108-118,0.9,0,0,0,0,0,3.42,0,0,0,0
120,0,0,0,0,0,0,6.46,0,0,0,1.35
