stage,blastomeres,eye,glial,gut,hatching.gland,mesenchyme,neural,paraxial.mesoderm,pronephros,spinal.cord
  3-4,16.65,0,0,0,0,0,0,0,0,0
  5-6,86.22,0,0,0,0,0,31.67,0,0,0
  7-9,0,3.49,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.53,0,43.05,9.66,4.21,0
 14-21,0,0,0,0,0,1.56,2.06,0,0,0
 24-34,0,1.05,0,0,0,1.91,3.32,0,0,5.23
 36-46,0,0,0,0,0,0,9.13,0,0,0
 48-58,0,0.73,0,0,0,0,1.56,0,0,0
 60-70,0,0.77,0.63,0,0,0,11.86,0,0,0
 72-82,0,0.7,0,0,0,0,0.96,0,0,0
 84-94,0,0.93,0,0,0,0,0,0,0,0
120,0,0,0,3.22,0,0,0,0,0,0
