stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,16.24,67.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,127.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,0,0,0,0,0,0,0,0,0
  7-9,8.4,5.25,0,7.68,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.89,0,0,0,63.43,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,10.16,0,0,0,0,0,0,0,0,0,0,99.6,0,0,0,13.54,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.85,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,0,2.3,9.03,0,0,0,0,0,1.67,0,0.81,1.17,1.67,0,1.86,0
 24-34,0,0,0,0,2.12,0,5.27,0,0,0,1.11,0,0,0,0.65,0,0,1.32,0,0,7.12,0,2.79,44.45,1.23,0,0,0,18.86,0,0.97,0,2.3,3.89,0,0,0
 36-46,0,0,0,0,0.55,0,0.6,4.4,3.63,0,1.27,0.95,0,0,0,0,0,0,0,0,8.75,0,3.75,37.14,0,0,0,0,14.71,0,1.59,0,0,6.48,0,0,0
 48-58,0,0,0,0,1.34,0,12.21,0,0,0,1.18,0,0,0,0,0,0.4,0,0,0,4.51,0,0.46,50.36,6.6,0.73,2.08,0,15.08,0,0,0,0,6.76,0,8.64,0
 60-70,0,0,0,0,4.14,0,53.87,2.88,0,0,4.59,0,0,0,0,0,2.76,0,0,0,2.41,4.03,0,47.54,0,0,3.5,0,20.77,0,0,0.65,0,4.46,0,1.72,0
 72-82,0,0,0,0,1.47,0,5.63,0,0,0,0.98,0.66,0,0,1.12,0,0,0,0,0,14.2,0,0,24.57,0,0,0.95,0,2.41,0,0,0,0,0,0,1.66,0
 84-94,0,0,0,0,6.87,0,9.88,0.69,0,0,2.51,2.09,0,0,0,1.15,0,0,0,0,10.22,0,0,8.92,0,0,0,0,10.37,0,0,0,0,2.7,0,1.04,0
 96-106,0,0,0.9,0,0,0,1.96,0,0,3.22,3.05,1.07,0,0.66,0,0.92,0,0,0,0,4.41,0,0,19.33,0,0,0,0,0,0,3.34,0,0,0,0,0,0.64
108-118,0,0,0,0,3.41,1.11,8.97,0,0,0,2.29,0,0,0,0.54,0,0,0,0.87,0.58,11,0,0,23.17,2.05,0,0,0,11.1,0,0.41,0.73,0,0,1.04,0,0
120,0,0,0,0,18.07,0,3.92,0,2.43,0,6.39,3.1,0,0,2.43,0,0,0,4.54,0,9.47,9.18,2.42,36.12,0,4.78,0,0,1.19,0,0,2.33,0,0,0,14.34,0
